Time,TSupCor.T,flo.temAirPer5.T,VSupCor_flow.V_flow
0,293.15,293.15,1.27803e-012
5,293.15,293.151,-1.27803e-012
5,293.15,293.151,-1.27803e-012
10,293.15,293.151,1.27803e-012
10,293.15,293.151,1.27803e-012
20,293.15,293.152,0
20,293.15,293.152,0
30,293.15,293.153,-2.55606e-012
30,293.15,293.153,-2.55606e-012
40,293.15,293.154,0
40,293.15,293.154,0
41.4544,293.15,293.154,-1.27803e-012
41.4544,293.15,293.154,-1.27803e-012
41.4544,293.15,293.154,-1.27803e-012
41.4544,293.15,293.154,-1.27803e-012
43.5536,293.15,293.154,0
43.5536,293.15,293.154,0
43.5536,293.15,293.154,0
43.5536,293.15,293.154,0
50,293.15,293.154,-2.55606e-012
50,293.15,293.154,-2.55606e-012
60,293.15,293.155,-6.39015e-012
60,293.15,293.155,-6.39015e-012
70,293.15,293.155,0
70,293.15,293.155,0
80,293.15,293.154,-2.55606e-012
80,293.15,293.154,-2.55606e-012
90,293.15,293.153,1.27803e-012
90,293.15,293.153,1.27803e-012
100,293.15,293.152,-1.27803e-012
100,293.15,293.152,-1.27803e-012
110,293.15,293.151,-1.27803e-012
110,293.15,293.151,-1.27803e-012
120,293.15,293.15,1.27803e-012
120,293.15,293.15,1.27803e-012
130,293.15,293.148,0
130,293.15,293.148,0
140,293.15,293.146,1.27803e-012
140,293.15,293.146,1.27803e-012
150,293.15,293.144,0
150,293.15,293.144,0
160,293.15,293.142,0
160,293.15,293.142,0
170,293.15,293.139,-1.27803e-012
170,293.15,293.139,-1.27803e-012
180,293.15,293.136,1.27803e-012
180,293.15,293.136,1.27803e-012
190,293.15,293.134,2.55606e-012
190,293.15,293.134,2.55606e-012
200,293.15,293.131,1.27803e-012
200,293.15,293.131,1.27803e-012
210,293.15,293.128,0
210,293.15,293.128,0
220,293.15,293.125,-1.15023e-011
220,293.15,293.125,-1.15023e-011
230,293.15,293.122,0
230,293.15,293.122,0
240,293.15,293.118,-1.27803e-012
240,293.15,293.118,-1.27803e-012
250,293.15,293.115,0
250,293.15,293.115,0
260,293.15,293.112,0
260,293.15,293.112,0
270,293.15,293.108,-3.83409e-012
270,293.15,293.108,-3.83409e-012
280,293.15,293.105,-1.27803e-012
280,293.15,293.105,-1.27803e-012
290,293.15,293.102,0
290,293.15,293.102,0
300,293.15,293.099,-2.55606e-012
300,293.15,293.099,-2.55606e-012
310,293.15,293.095,0
310,293.15,293.095,0
320,293.15,293.092,1.27803e-012
320,293.15,293.092,1.27803e-012
330,293.15,293.089,0
330,293.15,293.089,0
340,293.15,293.086,0
340,293.15,293.086,0
350,293.15,293.082,-1.27803e-012
350,293.15,293.082,-1.27803e-012
360,293.15,293.079,-1.27803e-012
360,293.15,293.079,-1.27803e-012
370,293.15,293.076,2.55606e-012
370,293.15,293.076,2.55606e-012
380,293.15,293.073,1.27803e-012
380,293.15,293.073,1.27803e-012
390,293.15,293.07,-1.27803e-012
390,293.15,293.07,-1.27803e-012
400,293.15,293.067,1.27803e-012
400,293.15,293.067,1.27803e-012
410,293.15,293.064,-8.94621e-012
410,293.15,293.064,-8.94621e-012
420,293.15,293.061,0
420,293.15,293.061,0
430,293.15,293.058,0
430,293.15,293.058,0
440,293.15,293.056,0
440,293.15,293.056,0
450,293.15,293.053,3.83409e-012
450,293.15,293.053,3.83409e-012
460,293.15,293.05,1.27803e-012
460,293.15,293.05,1.27803e-012
460.748,293.15,293.05,0
460.748,293.15,293.05,0
470,293.15,293.048,1.27803e-012
470,293.15,293.048,1.27803e-012
480,293.15,293.045,0
480,293.15,293.045,0
490,293.15,293.043,-1.27803e-012
490,293.15,293.043,-1.27803e-012
500,293.15,293.04,3.83409e-012
500,293.15,293.04,3.83409e-012
510,293.15,293.038,2.55606e-012
510,293.15,293.038,2.55606e-012
520,293.15,293.035,1.27803e-012
520,293.15,293.035,1.27803e-012
530,293.15,293.033,0
530,293.15,293.033,0
540,293.15,293.031,-1.27803e-012
540,293.15,293.031,-1.27803e-012
550,293.15,293.029,0
550,293.15,293.029,0
560,293.15,293.027,0
560,293.15,293.027,0
570,293.15,293.025,1.27803e-012
570,293.15,293.025,1.27803e-012
580,293.15,293.023,0
580,293.15,293.023,0
590,293.15,293.021,0
590,293.15,293.021,0
600,293.15,293.019,0
600,293.15,293.019,0
610,293.15,293.017,-3.83409e-012
610,293.15,293.017,-3.83409e-012
620,293.15,293.015,-2.55606e-012
620,293.15,293.015,-2.55606e-012
630,293.15,293.013,2.55606e-012
630,293.15,293.013,2.55606e-012
640,293.15,293.012,5.11212e-012
640,293.15,293.012,5.11212e-012
650,293.15,293.01,1.27803e-012
650,293.15,293.01,1.27803e-012
660,293.15,293.009,0
660,293.15,293.009,0
670,293.15,293.007,-1.27803e-012
670,293.15,293.007,-1.27803e-012
680,293.15,293.005,1.27803e-012
680,293.15,293.005,1.27803e-012
690,293.15,293.004,-1.27803e-012
690,293.15,293.004,-1.27803e-012
700,293.15,293.003,2.55606e-012
700,293.15,293.003,2.55606e-012
710,293.15,293.001,0
710,293.15,293.001,0
720,293.15,293,0
720,293.15,293,0
730,293.15,292.999,0
730,293.15,292.999,0
740,293.15,292.997,-1.27803e-012
740,293.15,292.997,-1.27803e-012
750,293.15,292.996,-1.02242e-011
750,293.15,292.996,-1.02242e-011
760,293.15,292.995,-2.55606e-012
760,293.15,292.995,-2.55606e-012
770,293.15,292.994,0
770,293.15,292.994,0
780,293.15,292.993,-1.27803e-012
780,293.15,292.993,-1.27803e-012
790,293.15,292.992,0
790,293.15,292.992,0
800,293.15,292.99,0
800,293.15,292.99,0
810,293.15,292.989,1.27803e-012
810,293.15,292.989,1.27803e-012
820,293.15,292.988,-1.27803e-012
820,293.15,292.988,-1.27803e-012
830,293.15,292.988,0
830,293.15,292.988,0
840,293.15,292.987,-3.83409e-012
840,293.15,292.987,-3.83409e-012
850,293.15,292.986,1.27803e-012
850,293.15,292.986,1.27803e-012
860,293.15,292.985,-2.55606e-012
860,293.15,292.985,-2.55606e-012
870,293.15,292.984,-7.66818e-012
870,293.15,292.984,-7.66818e-012
880,293.15,292.983,0
880,293.15,292.983,0
890,293.15,292.982,-6.39015e-012
890,293.15,292.982,-6.39015e-012
900,293.15,292.982,-1.27803e-012
900,293.15,292.982,-1.27803e-012
910,293.15,292.981,-1.27803e-012
910,293.15,292.981,-1.27803e-012
920,293.15,292.98,-1.27803e-012
920,293.15,292.98,-1.27803e-012
930,293.15,292.98,0
930,293.15,292.98,0
940,293.15,292.979,1.27803e-012
940,293.15,292.979,1.27803e-012
950,293.15,292.978,0
950,293.15,292.978,0
960,293.15,292.978,0
960,293.15,292.978,0
970,293.15,292.977,2.55606e-012
970,293.15,292.977,2.55606e-012
980,293.15,292.977,-1.27803e-012
980,293.15,292.977,-1.27803e-012
990,293.15,292.976,2.55606e-012
990,293.15,292.976,2.55606e-012
1000,293.15,292.976,1.27803e-012
1000,293.15,292.976,1.27803e-012
1010,293.15,292.975,0
1010,293.15,292.975,0
1020,293.15,292.975,1.27803e-012
1020,293.15,292.975,1.27803e-012
1030,293.15,292.974,0
1030,293.15,292.974,0
1040,293.15,292.974,-1.27803e-012
1040,293.15,292.974,-1.27803e-012
1050,293.15,292.973,0
1050,293.15,292.973,0
1060,293.15,292.973,5.11212e-012
1060,293.15,292.973,5.11212e-012
1070,293.15,292.973,0
1070,293.15,292.973,0
1080,293.15,292.972,0
1080,293.15,292.972,0
1090,293.15,292.972,-1.27803e-012
1090,293.15,292.972,-1.27803e-012
1100,293.15,292.971,2.55606e-012
1100,293.15,292.971,2.55606e-012
1110,293.15,292.971,0
1110,293.15,292.971,0
1120,293.15,292.971,-2.55606e-012
1120,293.15,292.971,-2.55606e-012
1130,293.15,292.971,0
1130,293.15,292.971,0
1140,293.15,292.97,-6.39015e-012
1140,293.15,292.97,-6.39015e-012
1150,293.15,292.97,-1.27803e-012
1150,293.15,292.97,-1.27803e-012
