Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,19508054.2047083,19508054.2047083,4597200.,0.0,0.0 
 01/21  02:00:00,19508054.2047083,19508054.2047083,4597200.,0.0,0.0 
 01/21  03:00:00,19508054.2047083,19508054.2047083,4597200.,0.0,0.0 
 01/21  04:00:00,19508054.2047083,19508054.2047083,4597200.,0.0,0.0 
 01/21  05:00:00,19508054.2047083,19508054.2047083,4597200.,0.0,0.0 
 01/21  06:00:00,47176452.2416199,47176452.2416199,4723513.30812701,0.0,0.0 
 01/21  07:00:00,310918111.410383,310918111.410383,4719764.40119188,0.0,0.0 
 01/21  08:00:00,500132806.21125,500132806.21125,4597200.,0.0,0.0 
 01/21  09:00:00,437178049.422557,437178049.422557,4597200.,0.0,0.0 
 01/21  10:00:00,417937783.13797,417937783.13797,4597200.,0.0,0.0 
 01/21  11:00:00,407646476.947283,407646476.947283,4597200.,0.0,0.0 
 01/21  12:00:00,400003530.442481,400003530.442481,4597200.,0.0,0.0 
 01/21  13:00:00,393863986.214906,393863986.214906,4597200.,0.0,0.0 
 01/21  14:00:00,388561396.851623,388561396.851623,4597200.,0.0,0.0 
 01/21  15:00:00,384085199.91753,384085199.91753,8669807.98007738,0.0,0.0 
 01/21  16:00:00,379983518.537521,379983518.537521,4597200.,0.0,0.0 
 01/21  17:00:00,376166556.273156,376166556.273156,4597200.,0.0,0.0 
 01/21  18:00:00,394937058.63411,394937058.63411,4597200.,0.0,0.0 
 01/21  19:00:00,299197972.056472,299197972.056472,4597200.,0.0,0.0 
 01/21  20:00:00,328016103.492905,328016103.492905,4597200.,0.0,0.0 
 01/21  21:00:00,231368114.470809,231368114.470809,4597200.,0.0,0.0 
 01/21  22:00:00,334516430.82476,334516430.82476,4597200.,0.0,0.0 
 01/21  23:00:00,36385097.1211066,36385097.1211066,4597200.,0.0,0.0 
 01/21  24:00:00,29825528.2047083,29825528.2047083,4597200.,0.0,0.0 
 07/21  01:00:00,527844873.086515,527844873.086516,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,529117196.24795,529117196.24795,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,490311471.260921,490311471.260921,4597200.,158309273.450227,224813060.552967 
 07/21  04:00:00,533663616.629589,533663616.629589,4597200.,158309273.450227,224813060.552967 
 07/21  05:00:00,528888459.02946,528888459.02946,4597200.,158309273.450227,224813060.552967 
 07/21  06:00:00,475601142.700951,475601142.700951,4597200.,147320145.443255,224813060.552967 
 07/21  07:00:00,610885874.696958,610885874.696958,4597200.,126364203.520586,224813060.552967 
 07/21  08:00:00,712805042.043842,712805042.043842,4597200.,124693262.065756,224813060.552967 
 07/21  09:00:00,709028171.1722,709028171.1722,4597200.,124547812.705664,224813060.552967 
 07/21  10:00:00,725807858.008708,725807858.008708,4597200.,124547812.705664,224813060.552967 
 07/21  11:00:00,739622731.723489,739622731.723489,4597200.,124547812.705664,224813060.552967 
 07/21  12:00:00,746289971.013428,746289971.013428,17572944.2623094,124547812.705664,224813060.552967 
 07/21  13:00:00,753483376.736565,753483376.736564,17016568.2541947,124547812.705664,224813060.552967 
 07/21  14:00:00,765578600.285071,765578600.28507,14349991.4276263,124547812.705664,224813060.552967 
 07/21  15:00:00,775232177.944155,775232177.944155,13120121.3778228,124547812.705664,224813060.552967 
 07/21  16:00:00,764918380.851525,764918380.851525,12997635.6294901,124547812.705664,224813060.552967 
 07/21  17:00:00,752524077.401475,752524077.401475,13205386.2278993,124547812.705664,224813060.552967 
 07/21  18:00:00,734588734.985057,734588734.985057,8735165.9750311,125589174.048485,224813060.552967 
 07/21  19:00:00,697341040.870513,697341040.870513,8691205.94605116,134259980.004604,224813060.552967 
 07/21  20:00:00,701301077.215695,701301077.215695,4597200.,158309273.450227,224813060.552967 
