Time,PACU_VAV_BOT:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:Des Heat Cap [W],PACU_VAV_BOT:Des Sens Cool Cap [W],PACU_VAV_MID:Des Heat Mass Flow [kg/s],PACU_VAV_MID:Des Cool Mass Flow [kg/s],PACU_VAV_MID:Des Heat Cap [W],PACU_VAV_MID:Des Sens Cool Cap [W],PACU_VAV_TOP:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:Des Heat Cap [W],PACU_VAV_TOP:Des Sens Cool Cap [W] 
00:15:00,8.633542E-01,1.666951E+00,3.556950E+03,2.458148E+04,8.633542E-01,8.734186E-01,3.556950E+03,1.299423E+04,8.633542E-01,8.747044E-01,3.556950E+03,1.301336E+04 
00:30:00,8.633542E-01,1.716208E+00,3.556950E+03,2.513128E+04,8.633542E-01,9.087538E-01,3.556950E+03,1.342815E+04,8.633542E-01,9.332198E-01,3.556950E+03,1.378967E+04 
00:45:00,8.633542E-01,1.745886E+00,3.556950E+03,2.540414E+04,8.633542E-01,9.657443E-01,3.556950E+03,1.417274E+04,8.633542E-01,9.874835E-01,3.556950E+03,1.449177E+04 
01:00:00,8.633542E-01,1.764414E+00,3.556950E+03,2.551765E+04,8.633542E-01,9.912805E-01,3.556950E+03,1.444739E+04,8.633542E-01,1.010487E+00,3.556950E+03,1.472731E+04 
01:15:00,8.633542E-01,1.777474E+00,3.556950E+03,2.560320E+04,8.633542E-01,1.015646E+00,3.556950E+03,1.473413E+04,8.633542E-01,1.033966E+00,3.556950E+03,1.499990E+04 
01:30:00,8.633542E-01,1.788377E+00,3.556950E+03,2.565863E+04,8.633542E-01,1.033877E+00,3.556950E+03,1.492900E+04,8.633542E-01,1.050216E+00,3.556950E+03,1.516492E+04 
01:45:00,8.633542E-01,1.797950E+00,3.556950E+03,2.569547E+04,8.633542E-01,1.048905E+00,3.556950E+03,1.507538E+04,8.633542E-01,1.063348E+00,3.556950E+03,1.528297E+04 
02:00:00,8.633542E-01,1.806543E+00,3.556950E+03,2.571863E+04,8.633542E-01,1.061877E+00,3.556950E+03,1.519033E+04,8.633542E-01,1.074241E+00,3.556950E+03,1.536720E+04 
02:15:00,8.633542E-01,1.815396E+00,3.556950E+03,2.576963E+04,8.633542E-01,1.075038E+00,3.556950E+03,1.532431E+04,8.633542E-01,1.085139E+00,3.556950E+03,1.546830E+04 
02:30:00,8.633542E-01,1.823744E+00,3.556950E+03,2.581359E+04,8.633542E-01,1.087161E+00,3.556950E+03,1.544223E+04,8.633542E-01,1.094837E+00,3.556950E+03,1.555125E+04 
02:45:00,8.633542E-01,1.831649E+00,3.556950E+03,2.585134E+04,8.633542E-01,1.098498E+00,3.556950E+03,1.554779E+04,8.633542E-01,1.103607E+00,3.556950E+03,1.562011E+04 
03:00:00,8.633542E-01,1.839165E+00,3.556950E+03,2.588366E+04,8.633542E-01,1.109254E+00,3.556950E+03,1.564402E+04,8.633542E-01,1.111681E+00,3.556950E+03,1.567825E+04 
03:15:00,8.633542E-01,1.846353E+00,3.556950E+03,2.591141E+04,8.633542E-01,1.119490E+00,3.556950E+03,1.573185E+04,8.633542E-01,1.119138E+00,3.556950E+03,1.572690E+04 
03:30:00,8.633542E-01,1.853279E+00,3.556950E+03,2.593550E+04,8.633542E-01,1.129340E+00,3.556950E+03,1.581324E+04,8.633542E-01,1.126124E+00,3.556950E+03,1.576822E+04 
03:45:00,8.633542E-01,1.859966E+00,3.556950E+03,2.595624E+04,8.633542E-01,1.138866E+00,3.556950E+03,1.588913E+04,8.633542E-01,1.132727E+00,3.556950E+03,1.580348E+04 
04:00:00,8.633542E-01,1.866430E+00,3.556950E+03,2.597386E+04,8.633542E-01,1.148113E+00,3.556950E+03,1.596016E+04,8.633542E-01,1.139009E+00,3.556950E+03,1.583361E+04 
04:15:00,8.633542E-01,1.872687E+00,3.556950E+03,2.601282E+04,8.633542E-01,1.157115E+00,3.556950E+03,1.604635E+04,8.633542E-01,1.145023E+00,3.556950E+03,1.587866E+04 
04:30:00,8.633542E-01,1.878721E+00,3.556950E+03,2.604866E+04,8.633542E-01,1.165850E+00,3.556950E+03,1.612824E+04,8.633542E-01,1.150784E+00,3.556950E+03,1.591982E+04 
04:45:00,8.633542E-01,1.884582E+00,3.556950E+03,2.608209E+04,8.633542E-01,1.174406E+00,3.556950E+03,1.620706E+04,8.633542E-01,1.156356E+00,3.556950E+03,1.595798E+04 
05:00:00,8.633542E-01,1.890251E+00,3.556950E+03,2.611283E+04,8.633542E-01,1.182753E+00,3.556950E+03,1.628244E+04,8.633542E-01,1.161744E+00,3.556950E+03,1.599322E+04 
05:15:00,8.633542E-01,1.990530E+00,3.556950E+03,2.751152E+04,8.633542E-01,1.350741E+00,3.556950E+03,1.864053E+04,8.633542E-01,1.325641E+00,3.556950E+03,1.829415E+04 
05:30:00,8.633542E-01,2.041389E+00,3.556950E+03,2.819000E+04,8.633542E-01,1.429682E+00,3.556950E+03,1.977807E+04,8.633542E-01,1.400450E+00,3.556950E+03,1.937366E+04 
05:45:00,8.633542E-01,2.185362E+00,3.556950E+03,3.012429E+04,8.633542E-01,1.581896E+00,3.556950E+03,2.190219E+04,8.633542E-01,1.548668E+00,3.556950E+03,2.144949E+04 
06:00:00,8.633542E-01,2.315200E+00,3.556950E+03,3.183155E+04,8.633542E-01,1.717940E+00,3.556950E+03,2.376902E+04,8.633542E-01,1.680816E+00,3.556950E+03,2.326788E+04 
06:15:00,8.633542E-01,2.624608E+00,3.556950E+03,3.596357E+04,8.633542E-01,2.036252E+00,3.556950E+03,2.812707E+04,8.633542E-01,1.994456E+00,3.556950E+03,2.757035E+04 
06:30:00,8.633542E-01,2.873732E+00,3.556950E+03,3.914450E+04,8.633542E-01,2.290439E+00,3.556950E+03,3.149987E+04,8.633542E-01,2.244772E+00,3.556950E+03,3.090131E+04 
06:45:00,8.633542E-01,3.172768E+00,3.556950E+03,4.286217E+04,8.633542E-01,2.594179E+00,3.556950E+03,3.540277E+04,8.633542E-01,2.546032E+00,3.556950E+03,3.478192E+04 
07:00:00,8.633542E-01,3.461441E+00,3.556950E+03,4.632053E+04,8.633542E-01,2.886747E+00,3.556950E+03,3.903422E+04,8.745648E-01,2.837855E+00,3.603137E+03,3.841415E+04 
07:15:00,8.633542E-01,3.831609E+00,3.556950E+03,5.094956E+04,8.633542E-01,3.254975E+00,3.556950E+03,4.375142E+04,9.889099E-01,3.208203E+00,4.074230E+03,4.316749E+04 
07:30:00,8.633542E-01,4.193566E+00,3.556950E+03,5.528997E+04,9.288555E-01,3.609453E+00,3.826811E+03,4.812273E+04,1.116885E+00,3.568302E+00,4.601477E+03,4.761765E+04 
07:45:00,8.849034E-01,4.544238E+00,3.645732E+03,5.933922E+04,1.040738E+00,3.956202E+00,4.287759E+03,5.224928E+04,1.263852E+00,3.923953E+00,5.206968E+03,5.186020E+04 
08:00:00,9.608350E-01,4.890171E+00,3.958564E+03,6.318252E+04,1.141057E+00,4.296925E+00,4.701062E+03,5.615638E+04,1.462864E+00,4.277131E+00,5.754185E+03,5.592160E+04 
08:15:00,1.034290E+00,5.052137E+00,4.261191E+03,6.498655E+04,1.237891E+00,4.450584E+00,5.100013E+03,5.795889E+04,1.681394E+00,4.448054E+00,4.103545E+03,5.792896E+04 
08:30:00,1.036891E+00,5.273486E+00,4.271909E+03,6.754950E+04,1.229259E+00,4.667006E+00,5.064450E+03,6.054062E+04,1.655024E+00,4.685266E+00,4.233823E+03,6.075119E+04 
08:45:00,1.101309E+00,5.445047E+00,4.537304E+03,6.948838E+04,1.305661E+00,4.833588E+00,5.379217E+03,6.249881E+04,1.820209E+00,4.875910E+00,2.871740E+03,6.298205E+04 
09:00:00,1.120471E+00,5.627759E+00,4.616250E+03,7.151043E+04,1.318808E+00,5.011738E+00,5.433382E+03,6.454604E+04,1.832619E+00,5.081278E+00,2.703690E+03,6.533159E+04 
09:15:00,1.087480E+00,5.577138E+00,4.480332E+03,7.114786E+04,1.277166E+00,4.954966E+00,5.261822E+03,6.414619E+04,1.718390E+00,5.055111E+00,3.625436E+03,6.527288E+04 
