Time,CORE_BOTTOM:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,0.000000E+00,1.864162E+04,0.000000E+00,1.314903E+00,0.000000E+00,6.762776E+03,0.000000E+00,4.770365E-01,0.000000E+00,7.000862E+03,0.000000E+00,4.936712E-01,0.000000E+00,1.436882E+03,0.000000E+00,1.013142E-01,0.000000E+00,9.548576E+02,0.000000E+00,6.732931E-02,0.000000E+00,1.499979E+03,0.000000E+00,1.057645E-01,0.000000E+00,1.128370E+03,0.000000E+00,7.958428E-02,0.000000E+00,7.230305E+02,0.000000E+00,5.101394E-02,0.000000E+00,4.862790E+02,0.000000E+00,3.431789E-02,0.000000E+00,7.744504E+02,0.000000E+00,5.465704E-02,0.000000E+00,6.297704E+02,0.000000E+00,4.444584E-02,0.000000E+00,1.393583E+03,0.000000E+00,9.827153E-02,0.000000E+00,9.287487E+02,0.000000E+00,6.548403E-02,0.000000E+00,1.457965E+03,0.000000E+00,1.027984E-01,0.000000E+00,1.110173E+03,0.000000E+00,7.829855E-02 
00:30:00,0.000000E+00,1.934946E+04,0.000000E+00,1.364159E+00,0.000000E+00,7.502113E+03,0.000000E+00,5.290435E-01,0.000000E+00,7.731949E+03,0.000000E+00,5.451352E-01,0.000000E+00,1.581382E+03,0.000000E+00,1.114913E-01,0.000000E+00,1.047857E+03,0.000000E+00,7.387170E-02,0.000000E+00,1.645606E+03,0.000000E+00,1.160105E-01,0.000000E+00,1.229771E+03,0.000000E+00,8.671102E-02,0.000000E+00,8.517807E+02,0.000000E+00,6.009010E-02,0.000000E+00,5.719124E+02,0.000000E+00,4.035456E-02,0.000000E+00,9.095272E+02,0.000000E+00,6.417842E-02,0.000000E+00,7.046109E+02,0.000000E+00,4.971947E-02,0.000000E+00,1.541766E+03,0.000000E+00,1.087148E-01,0.000000E+00,1.024413E+03,0.000000E+00,7.222164E-02,0.000000E+00,1.607743E+03,0.000000E+00,1.133494E-01,0.000000E+00,1.211561E+03,0.000000E+00,8.542443E-02 
00:45:00,0.000000E+00,1.977349E+04,0.000000E+00,1.393838E+00,0.000000E+00,7.987488E+03,0.000000E+00,5.630512E-01,0.000000E+00,8.192000E+03,0.000000E+00,5.774606E-01,0.000000E+00,1.677534E+03,0.000000E+00,1.182613E-01,0.000000E+00,1.109740E+03,0.000000E+00,7.823357E-02,0.000000E+00,1.741987E+03,0.000000E+00,1.228047E-01,0.000000E+00,1.286903E+03,0.000000E+00,9.072335E-02,0.000000E+00,9.606533E+02,0.000000E+00,6.772013E-02,0.000000E+00,6.384186E+02,0.000000E+00,4.500504E-02,0.000000E+00,1.014015E+03,0.000000E+00,7.148255E-02,0.000000E+00,7.662903E+02,0.000000E+00,5.402007E-02,0.000000E+00,1.643591E+03,0.000000E+00,1.158676E-01,0.000000E+00,1.089036E+03,0.000000E+00,7.677308E-02,0.000000E+00,1.708902E+03,0.000000E+00,1.204711E-01,0.000000E+00,1.270724E+03,0.000000E+00,8.958125E-02 
01:00:00,0.000000E+00,2.003646E+04,0.000000E+00,1.412366E+00,0.000000E+00,8.203076E+03,0.000000E+00,5.782347E-01,0.000000E+00,8.387126E+03,0.000000E+00,5.912075E-01,0.000000E+00,1.719573E+03,0.000000E+00,1.212258E-01,0.000000E+00,1.136808E+03,0.000000E+00,8.014278E-02,0.000000E+00,1.783289E+03,0.000000E+00,1.257178E-01,0.000000E+00,1.307736E+03,0.000000E+00,9.219314E-02,0.000000E+00,1.004958E+03,0.000000E+00,7.084276E-02,0.000000E+00,6.659828E+02,0.000000E+00,4.694746E-02,0.000000E+00,1.057223E+03,0.000000E+00,7.452728E-02,0.000000E+00,7.919537E+02,0.000000E+00,5.582769E-02,0.000000E+00,1.691590E+03,0.000000E+00,1.192511E-01,0.000000E+00,1.118783E+03,0.000000E+00,7.887069E-02,0.000000E+00,1.754953E+03,0.000000E+00,1.237182E-01,0.000000E+00,1.293757E+03,0.000000E+00,9.120594E-02 
01:15:00,0.000000E+00,2.022186E+04,0.000000E+00,1.425426E+00,0.000000E+00,8.417587E+03,0.000000E+00,5.933532E-01,0.000000E+00,8.597750E+03,0.000000E+00,6.060522E-01,0.000000E+00,1.758613E+03,0.000000E+00,1.239791E-01,0.000000E+00,1.162634E+03,0.000000E+00,8.196423E-02,0.000000E+00,1.823464E+03,0.000000E+00,1.285513E-01,0.000000E+00,1.325121E+03,0.000000E+00,9.341962E-02,0.000000E+00,1.014560E+03,0.000000E+00,7.152016E-02,0.000000E+00,6.733116E+02,0.000000E+00,4.746442E-02,0.000000E+00,1.068720E+03,0.000000E+00,7.533823E-02,0.000000E+00,7.993612E+02,0.000000E+00,5.635017E-02,0.000000E+00,1.732529E+03,0.000000E+00,1.221380E-01,0.000000E+00,1.146479E+03,0.000000E+00,8.082383E-02,0.000000E+00,1.797690E+03,0.000000E+00,1.267319E-01,0.000000E+00,1.313511E+03,0.000000E+00,9.259924E-02 
01:30:00,0.000000E+00,2.037666E+04,0.000000E+00,1.436329E+00,0.000000E+00,8.589983E+03,0.000000E+00,6.055034E-01,0.000000E+00,8.754194E+03,0.000000E+00,6.170780E-01,0.000000E+00,1.783603E+03,0.000000E+00,1.257421E-01,0.000000E+00,1.178565E+03,0.000000E+00,8.308814E-02,0.000000E+00,1.848297E+03,0.000000E+00,1.303032E-01,0.000000E+00,1.333404E+03,0.000000E+00,9.400434E-02,0.000000E+00,1.035767E+03,0.000000E+00,7.301544E-02,0.000000E+00,6.871360E+02,0.000000E+00,4.843920E-02,0.000000E+00,1.090094E+03,0.000000E+00,7.684531E-02,0.000000E+00,8.080962E+02,0.000000E+00,5.696620E-02,0.000000E+00,1.761460E+03,0.000000E+00,1.241786E-01,0.000000E+00,1.164728E+03,0.000000E+00,8.211094E-02,0.000000E+00,1.826194E+03,0.000000E+00,1.287423E-01,0.000000E+00,1.324041E+03,0.000000E+00,9.334224E-02 
01:45:00,0.000000E+00,2.051257E+04,0.000000E+00,1.445902E+00,0.000000E+00,8.738465E+03,0.000000E+00,6.159679E-01,0.000000E+00,8.887720E+03,0.000000E+00,6.264882E-01,0.000000E+00,1.802168E+03,0.000000E+00,1.270517E-01,0.000000E+00,1.190202E+03,0.000000E+00,8.390914E-02,0.000000E+00,1.866672E+03,0.000000E+00,1.315995E-01,0.000000E+00,1.337588E+03,0.000000E+00,9.429986E-02,0.000000E+00,1.046774E+03,0.000000E+00,7.379174E-02,0.000000E+00,6.954043E+02,0.000000E+00,4.902229E-02,0.000000E+00,1.102541E+03,0.000000E+00,7.772308E-02,0.000000E+00,8.113389E+02,0.000000E+00,5.719503E-02,0.000000E+00,1.783697E+03,0.000000E+00,1.257469E-01,0.000000E+00,1.178689E+03,0.000000E+00,8.309564E-02,0.000000E+00,1.848185E+03,0.000000E+00,1.302934E-01,0.000000E+00,1.330548E+03,0.000000E+00,9.380148E-02 
02:00:00,0.000000E+00,2.063455E+04,0.000000E+00,1.454495E+00,0.000000E+00,8.872624E+03,0.000000E+00,6.254227E-01,0.000000E+00,9.005083E+03,0.000000E+00,6.347590E-01,0.000000E+00,1.816107E+03,0.000000E+00,1.280350E-01,0.000000E+00,1.198622E+03,0.000000E+00,8.450314E-02,0.000000E+00,1.880211E+03,0.000000E+00,1.325546E-01,0.000000E+00,1.338850E+03,0.000000E+00,9.438921E-02,0.000000E+00,1.055328E+03,0.000000E+00,7.439502E-02,0.000000E+00,7.015894E+02,0.000000E+00,4.945846E-02,0.000000E+00,1.112048E+03,0.000000E+00,7.839353E-02,0.000000E+00,8.123624E+02,0.000000E+00,5.726737E-02,0.000000E+00,1.801549E+03,0.000000E+00,1.270060E-01,0.000000E+00,1.189586E+03,0.000000E+00,8.386421E-02,0.000000E+00,1.865594E+03,0.000000E+00,1.315212E-01,0.000000E+00,1.334259E+03,0.000000E+00,9.406342E-02 
02:15:00,0.000000E+00,2.076021E+04,0.000000E+00,1.463348E+00,0.000000E+00,9.010144E+03,0.000000E+00,6.351144E-01,0.000000E+00,9.124031E+03,0.000000E+00,6.431417E-01,0.000000E+00,1.829655E+03,0.000000E+00,1.289906E-01,0.000000E+00,1.206587E+03,0.000000E+00,8.506496E-02,0.000000E+00,1.893213E+03,0.000000E+00,1.334716E-01,0.000000E+00,1.339992E+03,0.000000E+00,9.446997E-02,0.000000E+00,1.065338E+03,0.000000E+00,7.510080E-02,0.000000E+00,7.080602E+02,0.000000E+00,4.991475E-02,0.000000E+00,1.122145E+03,0.000000E+00,7.910546E-02,0.000000E+00,8.137115E+02,0.000000E+00,5.736260E-02,0.000000E+00,1.819267E+03,0.000000E+00,1.282554E-01,0.000000E+00,1.200186E+03,0.000000E+00,8.461175E-02,0.000000E+00,1.882724E+03,0.000000E+00,1.327293E-01,0.000000E+00,1.337996E+03,0.000000E+00,9.432706E-02 
02:30:00,0.000000E+00,2.087870E+04,0.000000E+00,1.471696E+00,0.000000E+00,9.139747E+03,0.000000E+00,6.442483E-01,0.000000E+00,9.233506E+03,0.000000E+00,6.508568E-01,0.000000E+00,1.840915E+03,0.000000E+00,1.297848E-01,0.000000E+00,1.212951E+03,0.000000E+00,8.551380E-02,0.000000E+00,1.903813E+03,0.000000E+00,1.342192E-01,0.000000E+00,1.339879E+03,0.000000E+00,9.446212E-02,0.000000E+00,1.074036E+03,0.000000E+00,7.571414E-02,0.000000E+00,7.134860E+02,0.000000E+00,5.029734E-02,0.000000E+00,1.130707E+03,0.000000E+00,7.970920E-02,0.000000E+00,8.141433E+02,0.000000E+00,5.739315E-02,0.000000E+00,1.834932E+03,0.000000E+00,1.293601E-01,0.000000E+00,1.209329E+03,0.000000E+00,8.525649E-02,0.000000E+00,1.897688E+03,0.000000E+00,1.337844E-01,0.000000E+00,1.340614E+03,0.000000E+00,9.451175E-02 
