Date/Time,CORE_BOTTOM:Zone Mean Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),CORE_MID:Zone Mean Air Temperature [C](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](Hourly) 
 01/21  01:00:00,19.701088218464997,13.819010647783945,17.17647042254825,17.964545202665243,18.45990272381018,17.37437508891918,15.276883323993215,15.243035860083701,15.263499914537388,15.230676920849021,15.716510841974135,15.572208841028625,15.64242952783863,15.510450926935395,15.472768570141565,15.447381899985892,15.463760896779185,15.438482365277574 
 01/21  02:00:00,19.568578582956059,13.600270269453905,17.00824898301272,17.83398728282597,18.236525116039464,17.025919550192254,15.264385504070088,15.235164328799009,15.254121309129907,15.230228269634236,15.457247516914098,15.299819815085403,15.379412784859973,15.236253129091392,15.434499756879103,15.407388773379765,15.425006230721193,15.397540481841088 
 01/21  03:00:00,19.235493310785317,13.256981460317139,16.884566151141905,17.69479482836817,18.125736040973345,16.823327358921558,14.844419154077413,14.82513070374345,14.861618723106123,14.809247634230609,15.464756200366976,15.400784646133442,15.435255887579162,15.376738114010596,15.196360831119876,15.138071111209456,15.174901565435244,15.117651973475827 
 01/21  04:00:00,18.971800079129229,13.176826887455942,16.74794297796772,17.555262241393267,17.970964232593106,16.61300625160807,15.21016541328703,15.187102171353617,15.210531793426215,15.1778587360638,15.509558784133155,15.478838344974488,15.496217782815979,15.468220127988566,15.372479580813167,15.336205783616832,15.35882285092944,15.3246391451995 
 01/21  05:00:00,18.872958899621034,12.984666768911856,16.645767955690688,17.45324682352176,17.88079582048895,16.45205432883968,15.191093831286223,15.170764082985464,15.193591568882987,15.161031890381583,15.42823717599525,15.381551771572444,15.407130615275662,15.36462511889782,15.350142956526785,15.309996069191787,15.333130087627764,15.29468969002758 
 01/21  06:00:00,18.721277367146184,12.929274358528025,16.65902367501879,17.525375792488729,17.824486516217044,17.14434813734558,15.89892111082849,15.858780438271378,15.912550726027522,15.845956496552854,17.161761756123505,17.132518043583155,17.153146691145783,17.121828477289435,16.245849261368546,16.180739022381404,16.215197941003696,16.16619615177114 
 01/21  07:00:00,19.587955153639329,14.519953194216486,17.57174296651724,18.231642862391767,19.530072757695359,19.465090638796789,19.368209024437556,19.347445611640507,19.360037672747905,19.345239245565069,19.519307623257086,19.506546158136986,19.516812520176769,19.50730639921812,19.37935564044521,19.348113040066658,19.36564743382382,19.347863257082044 
 01/21  08:00:00,20.958968424780254,16.16916700901567,18.389292389083708,18.899748984948514,20.912215891671715,20.915029463731725,20.95820239182317,20.940777034226437,20.949924863531846,20.939752902740339,20.93002451268557,20.873000210828395,20.91530312506762,20.876478249524135,20.940188638418705,20.887757921406533,20.926339530280307,20.89177423319289 
 01/21  09:00:00,21.000029251673927,17.047734171166974,18.635780350763836,19.125846937573578,21.00004317243217,21.00006130284234,21.000355693696308,21.000376555569035,21.00028752505048,21.000367509498504,21.000310702116687,21.000329580094055,21.000269255423278,21.000333718600939,21.000336204535917,21.000335922473775,21.000268588795298,21.000342174364634 
 01/21  10:00:00,21.00002550852398,17.36130825096036,18.714660932935077,19.187372188550499,21.000040230791656,21.000055018904697,21.000476994215643,21.000488937855903,21.000371887364133,21.000476946818723,21.00042077278201,21.000432186811329,21.000353131957895,21.000437662139704,21.000462298685379,21.000443262793114,21.000353405754824,21.000451476073445 
 01/21  11:00:00,21.000025086362478,17.506431188014724,18.78443111958589,19.240092230994259,21.00004184665854,21.000055239317875,21.000595879173948,21.000595878979298,21.000454568452576,21.000580181625808,21.000530877371586,21.00053106946001,21.0004371484481,21.00053794423018,21.000587374080696,21.000544408250698,21.000437604521495,21.000554861949838 
 01/21  12:00:00,21.000026843067379,17.582706059779328,18.850302398110835,19.289378256268578,21.000045622644345,21.000059744922884,21.000621351816613,21.000594046163387,21.000463119625946,21.00057775149324,21.000561542290155,21.000532998649626,21.00045190800144,21.000540028478448,21.000621072966994,21.000544104084509,21.000448982861877,21.000554846142707 
 01/21  13:00:00,21.00003048018902,17.62889361948626,18.91275302151865,19.335867103083325,21.000051806327308,21.000067063391108,21.00067688318665,21.000647520201956,21.000504893292609,21.00063011851713,21.000614682600827,21.000582621441205,21.000493894829455,21.000590378153455,21.000679332889058,21.000594688742735,21.00049075178254,21.00060646482069 
 01/21  14:00:00,21.000031735313749,17.662120156611669,18.97221546075327,19.38002254386301,21.000053793154174,21.000069753654196,21.000646971850608,21.000593900714745,21.000473322316386,21.00057707638601,21.000595479189618,21.00053884637574,21.000470071079449,21.000546120514707,21.00065514613115,21.00054578331143,21.000462067927076,21.00055688767623 
 01/21  15:00:00,21.00003343773481,17.688374869342238,19.02861222172111,19.421852012126345,21.000055785456863,21.000072445729335,21.00060612137448,21.00054666960045,21.0004409047492,21.000531245089286,21.000563255215103,21.00049849311496,21.000441331615208,21.000505276768508,21.00061658603713,21.00050281226933,21.000431075399665,21.00051311453542 
 01/21  16:00:00,21.000033105398836,17.710324781579457,19.081979484547646,19.461414253570458,21.000054354944589,21.000070997153285,21.000524345288516,21.00045683659358,21.00037654068106,21.000443686866057,21.000493840456863,21.000419644426139,21.000381786541465,21.000425408393175,21.000536767314473,21.000420091990944,21.000368811718837,21.000428830436097 
 01/21  17:00:00,21.00003266608113,17.729285482292306,19.13239754166233,19.498787654116705,21.000052633182418,21.000069040729476,21.00046674532648,21.000410243334718,21.00033814188562,21.00039924331285,21.00044146031049,21.000376706400809,21.000342502457014,21.000381900999249,21.000477082729348,21.00037698292741,21.000330173790645,21.000384725181129 
 01/21  18:00:00,21.000029822926615,17.745983800581099,19.179970318965418,19.53406244280791,21.000047790153255,21.00006264044906,21.000428171883344,21.000376607434427,21.000309972089278,21.000366140282539,21.00040661171889,21.000348196152176,21.00031594148242,21.000353024258727,21.00043736728576,21.00034636078116,21.000303032421944,21.00035357617829 
 01/21  19:00:00,20.898716752546567,17.027030644536937,18.651463135655555,19.06324492889788,20.81032642062296,20.716460258010696,20.10786869949486,20.07753279656534,20.096689598911035,20.065188256865839,20.245784663739295,20.199994771369803,20.22777607354503,20.19074983677984,20.18452410403471,20.138717995285469,20.166720355294549,20.129480707737014 
 01/21  20:00:00,20.907474883439819,16.597996187353858,18.475869271305937,18.960143388319908,20.82322801094753,20.727324845332818,20.176291324451538,20.126054289336467,20.15965228206909,20.112623268267048,20.352475632325729,20.296612713089418,20.331657094740156,20.289575055431713,20.24190059207465,20.17462547963447,20.21611500564897,20.16753996817823 
