Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,63962295.87853998,63962295.87853997,13848229.56933856,0.0,0.0 
 01/21  02:00:00,57860064.23088957,57860064.23088957,15485439.739213972,0.0,0.0 
 01/21  03:00:00,57178490.38166244,57178490.38166243,13772240.348959275,0.0,0.0 
 01/21  04:00:00,92431595.16508217,92431595.16508217,18801394.28383799,0.0,0.0 
 01/21  05:00:00,95074648.03818405,95074648.03818405,20149141.06778668,0.0,0.0 
 01/21  06:00:00,195253129.11388315,195253129.11388315,15128116.786544145,0.0,0.0 
 01/21  07:00:00,522943438.96066299,522943438.96066287,13897389.106762726,0.0,0.0 
 01/21  08:00:00,638213417.6682882,638213417.6682882,357128521.25768867,0.0,0.0 
 01/21  09:00:00,541426025.0540099,541426025.0540099,353153011.8813714,0.0,0.0 
 01/21  10:00:00,512957478.0935716,512957478.0935716,351950085.3060687,0.0,0.0 
 01/21  11:00:00,495821661.4367213,495821661.43672129,351309849.67351379,0.0,0.0 
 01/21  12:00:00,482582357.5274775,482582357.5274775,350955744.07282987,0.0,0.0 
 01/21  13:00:00,471721248.13824436,471721248.13824436,350712963.1817798,0.0,0.0 
 01/21  14:00:00,462236146.36262,462236146.36262,350513119.7620677,0.0,0.0 
 01/21  15:00:00,453993398.0880133,453993398.0880133,350327238.5925686,0.0,0.0 
 01/21  16:00:00,446647738.1799065,446647738.1799065,354288253.43468669,0.0,0.0 
 01/21  17:00:00,439864667.5451782,439864667.5451782,349987404.45681539,0.0,0.0 
 01/21  18:00:00,453008605.6580758,453008605.6580758,349813007.83946749,0.0,0.0 
 01/21  19:00:00,381831714.40893736,381831714.4089373,6791184.0,0.0,0.0 
 01/21  20:00:00,401640809.09561708,401640809.09561708,6791184.0,0.0,0.0 
 01/21  21:00:00,269542463.5955567,269542463.5955567,6791184.0,0.0,0.0 
 01/21  22:00:00,401439877.3424408,401439877.34244087,6791184.0,0.0,0.0 
 01/21  23:00:00,20882238.663321936,20882238.663321936,6791184.0,0.0,0.0 
 01/21  24:00:00,46309754.42357312,46309754.42357312,9988999.613667258,0.0,0.0 
 07/21  01:00:00,465464015.79043319,465464015.79043319,6791184.0,152517470.7542746,224813060.55296705 
 07/21  02:00:00,482011146.8421223,482011146.8421223,6791184.0,152517470.7542746,224813060.55296705 
 07/21  03:00:00,466137989.35486057,466137989.3548606,6791184.0,152517470.7542746,224813060.55296705 
 07/21  04:00:00,481834386.1431335,481834386.1431335,6791184.0,152517470.7542746,224813060.55296705 
 07/21  05:00:00,484228671.38737288,484228671.38737288,6791184.0,152517470.7542746,224813060.55296705 
 07/21  06:00:00,431613472.62328138,431613472.62328138,6791184.0,127102446.88489416,224813060.55296705 
 07/21  07:00:00,569740564.7906735,569740564.7906734,6791184.0,120037894.75201537,224813060.55296705 
 07/21  08:00:00,692872249.6663778,692872249.6663777,6791184.0,119991185.40467142,224813060.55296705 
 07/21  09:00:00,702614409.1822796,702614409.1822796,6791184.0,119991185.40467142,224813060.55296705 
 07/21  10:00:00,672716197.7253611,672716197.7253611,6791184.0,119991185.40467142,224813060.55296705 
 07/21  11:00:00,673291071.9604383,673291071.9604383,6791184.0,119991185.40467142,224813060.55296705 
 07/21  12:00:00,672891375.1248083,672891375.1248083,20533710.922764824,119991185.40467142,224813060.55296705 
 07/21  13:00:00,678044006.4929493,678044006.4929493,25827141.0926278,119991185.40467142,224813060.55296705 
 07/21  14:00:00,691112998.9218066,691112998.9218066,25622702.16712422,119991185.40467142,224813060.55296705 
 07/21  15:00:00,698557369.3816266,698557369.3816266,15534619.842916588,119991185.40467142,224813060.55296705 
 07/21  16:00:00,692009946.1187599,692009946.1187599,15504251.408926964,119991185.40467142,224813060.55296705 
 07/21  17:00:00,675686850.4247806,675686850.4247806,20386476.72921069,119991185.40467142,224813060.55296705 
 07/21  18:00:00,652920132.5644266,652920132.5644266,11046145.858291299,119991185.40467142,224813060.55296705 
 07/21  19:00:00,621905771.5218186,621905771.5218185,10983130.954927218,120994448.16172122,224813060.55296705 
 07/21  20:00:00,613172202.0242703,613172202.0242703,6791184.0,146537977.73355908,224813060.55296705 
 07/21  21:00:00,623632325.5417632,623632325.5417632,6791184.0,152517470.7542746,224813060.55296705 
 07/21  22:00:00,644635411.3126918,644635411.3126918,6791184.0,152517470.7542746,224813060.55296705 
