Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
00:15:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.610791E+00,1.661123E+04,3.436257E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.417723E-01,8.234045E+03,1.873511E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.417723E-01,8.234045E+03,1.873511E+04
00:30:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.656256E+00,1.705716E+04,3.485286E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.417723E-01,8.116047E+03,1.861420E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.417723E-01,8.116047E+03,1.861420E+04
00:45:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.684570E+00,1.726149E+04,3.507945E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.664265E-01,8.232300E+03,1.903494E+04,8.470396E-01,2.476861E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.457040E-01,8.035407E+03,1.857968E+04
01:00:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.701720E+00,1.730636E+04,3.513495E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.853820E-01,8.288294E+03,1.932421E+04,8.697362E-01,2.543229E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.626315E-01,8.075320E+03,1.882766E+04
01:15:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.714157E+00,1.734897E+04,3.518655E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.002720E-01,8.343551E+03,1.956299E+04,8.951222E-01,2.617461E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.749186E-01,8.108580E+03,1.901206E+04
01:30:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.724527E+00,1.736273E+04,3.520877E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.123925E-01,8.370617E+03,1.973900E+04,9.147838E-01,2.674955E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.852969E-01,8.122031E+03,1.915280E+04
01:45:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.733554E+00,1.735771E+04,3.521186E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.224873E-01,8.377021E+03,1.986906E+04,9.317846E-01,2.724667E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,8.938982E-01,8.117407E+03,1.925329E+04
02:00:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.741557E+00,1.733839E+04,3.520011E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.314147E-01,8.371048E+03,1.997215E+04,9.467551E-01,2.768443E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.014807E-01,8.102017E+03,1.933028E+04
02:15:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.749757E+00,1.735460E+04,3.522502E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.406045E-01,8.387715E+03,2.010165E+04,9.601854E-01,2.807715E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.092604E-01,8.108208E+03,1.943180E+04
02:30:00,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,1.757372E+00,1.736264E+04,3.524120E+04,8.417723E-01,2.461459E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.491716E-01,8.397585E+03,2.021658E+04,9.723732E-01,2.843354E+04,8.417723E-01,0.000000E+00,0.000000E+00,8.417723E-01,0.000000E+00,9.164367E-01,8.107970E+03,1.951935E+04
