Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.796999E+04,0.000000E+00,1.267543E+00,0.000000E+00,6.266267E+03,0.000000E+00,4.421455E-01,0.000000E+00,6.024987E+03,0.000000E+00,4.251742E-01,1.795527E+03,7.146271E+02,7.217902E-02,5.048369E-02,1.230684E+03,4.811378E+02,4.947086E-02,3.398794E-02,1.834648E+03,8.054245E+02,7.375193E-02,5.689645E-02,1.283428E+03,7.067221E+02,5.158750E-02,4.987583E-02,0.000000E+00,2.949183E+02,0.000000E+00,2.079888E-02,0.000000E+00,2.028575E+02,0.000000E+00,1.430424E-02,0.000000E+00,3.686649E+02,0.000000E+00,2.599374E-02,0.000000E+00,3.335500E+02,0.000000E+00,2.356983E-02,4.649114E+02,8.006072E+02,1.868856E-02,5.655862E-02,3.836821E+02,5.383672E+02,1.543402E-02,3.802892E-02,5.198461E+02,8.956574E+02,2.090585E-02,6.326389E-02,4.280894E+02,7.742201E+02,1.722249E-02,5.462431E-02
00:30:00,0.000000E+00,1.862395E+04,0.000000E+00,1.313008E+00,0.000000E+00,6.951870E+03,0.000000E+00,4.903675E-01,0.000000E+00,6.676212E+03,0.000000E+00,4.709743E-01,2.177901E+03,8.387637E+02,8.754482E-02,5.923457E-02,1.487159E+03,5.610981E+02,5.977725E-02,3.962267E-02,2.219563E+03,9.302334E+02,8.921982E-02,6.568796E-02,1.546764E+03,7.904749E+02,6.216960E-02,5.577306E-02,0.000000E+00,3.510797E+02,0.000000E+00,2.475772E-02,0.000000E+00,2.403519E+02,0.000000E+00,1.694724E-02,0.000000E+00,4.340710E+02,0.000000E+00,3.060426E-02,0.000000E+00,3.893103E+02,0.000000E+00,2.750045E-02,6.253354E+02,9.330683E+02,2.513579E-02,6.589107E-02,5.026873E+02,6.229611E+02,2.021661E-02,4.398763E-02,6.894952E+02,1.027854E+03,2.772380E-02,7.257464E-02,5.544218E+02,8.640476E+02,2.229953E-02,6.094701E-02
00:45:00,0.000000E+00,1.902855E+04,0.000000E+00,1.341322E+00,0.000000E+00,7.420816E+03,0.000000E+00,5.231786E-01,0.000000E+00,7.126666E+03,0.000000E+00,5.024562E-01,2.491680E+03,9.401728E+02,1.001404E-01,6.633972E-02,1.690868E+03,6.256826E+02,6.795761E-02,4.414421E-02,2.528377E+03,1.033219E+03,1.016171E-01,7.289312E-02,1.750903E+03,8.440197E+02,7.037085E-02,5.951268E-02,0.000000E+00,4.086859E+02,0.000000E+00,2.881841E-02,0.000000E+00,2.785509E+02,0.000000E+00,1.963991E-02,0.000000E+00,5.006032E+02,0.000000E+00,3.529417E-02,6.546121E+00,4.451226E+02,2.636996E-04,3.143475E-02,7.992848E+02,1.042269E+03,3.212649E-02,7.353442E-02,6.304384E+02,6.937251E+02,2.535063E-02,4.893988E-02,8.725324E+02,1.139434E+03,3.507970E-02,8.037822E-02,6.893924E+02,9.203699E+02,2.772366E-02,6.489007E-02
01:00:00,0.000000E+00,1.927202E+04,0.000000E+00,1.358472E+00,0.000000E+00,7.688948E+03,0.000000E+00,5.419916E-01,0.000000E+00,7.368226E+03,0.000000E+00,5.193837E-01,2.732880E+03,9.575989E+02,1.098249E-01,6.750402E-02,1.842921E+03,6.379693E+02,7.405984E-02,4.497250E-02,2.760396E+03,1.054189E+03,1.109304E-01,7.431318E-02,1.901074E+03,8.632530E+02,7.639662E-02,6.085409E-02,0.000000E+00,4.400526E+02,0.000000E+00,3.101948E-02,1.008879E+01,2.957372E+02,4.060414E-04,2.084664E-02,0.000000E+00,5.212588E+02,0.000000E+00,3.674366E-02,2.683926E+01,4.463929E+02,1.079307E-03,3.146667E-02,9.852479E+02,1.069625E+03,3.959993E-02,7.540088E-02,7.659433E+02,7.118817E+02,3.079619E-02,5.018268E-02,1.067476E+03,1.169286E+03,4.291402E-02,8.242647E-02,8.320290E+02,9.457753E+02,3.345580E-02,6.667104E-02
01:15:00,0.000000E+00,1.944852E+04,0.000000E+00,1.370909E+00,0.000000E+00,7.886437E+03,0.000000E+00,5.559119E-01,0.000000E+00,7.542544E+03,0.000000E+00,5.316708E-01,2.928755E+03,9.720688E+02,1.176946E-01,6.852464E-02,1.967146E+03,6.471360E+02,7.905062E-02,4.561908E-02,2.949972E+03,1.068554E+03,1.185469E-01,7.532648E-02,2.023269E+03,8.722625E+02,8.130575E-02,6.148969E-02,0.000000E+00,4.211019E+02,0.000000E+00,2.968353E-02,3.001223E+01,2.818136E+02,1.206787E-03,1.986513E-02,1.588795E+01,4.951550E+02,6.392213E-04,3.490373E-02,5.318787E+01,4.359020E+02,2.138277E-03,3.072731E-02,1.140708E+03,1.091324E+03,4.584357E-02,7.693108E-02,8.638055E+02,7.253477E+02,3.471490E-02,5.113233E-02,1.218819E+03,1.190559E+03,4.898262E-02,8.392669E-02,9.264958E+02,9.595235E+02,3.723421E-02,6.764067E-02
01:30:00,0.000000E+00,1.959574E+04,0.000000E+00,1.381279E+00,0.000000E+00,8.050987E+03,0.000000E+00,5.675094E-01,0.000000E+00,7.689796E+03,0.000000E+00,5.420490E-01,3.081239E+03,9.944464E+02,1.238205E-01,7.010239E-02,2.063195E+03,6.602037E+02,8.290912E-02,4.654047E-02,3.096110E+03,1.088644E+03,1.244177E-01,7.674298E-02,2.118021E+03,8.769067E+02,8.511207E-02,6.181735E-02,1.191412E+01,4.498127E+02,4.794388E-04,3.170741E-02,5.660388E+01,2.994281E+02,2.275525E-03,2.110681E-02,4.408314E+01,5.240759E+02,1.772417E-03,3.694243E-02,8.802573E+01,4.444903E+02,3.538428E-03,3.133274E-02,1.282457E+03,1.118978E+03,5.153977E-02,7.888081E-02,9.526045E+02,7.417240E+02,3.828312E-02,5.228695E-02,1.357054E+03,1.215660E+03,5.453753E-02,8.569644E-02,1.012482E+03,9.669395E+02,4.068935E-02,6.816372E-02
01:45:00,0.000000E+00,1.972388E+04,0.000000E+00,1.390306E+00,0.000000E+00,8.191453E+03,0.000000E+00,5.774090E-01,0.000000E+00,7.811841E+03,0.000000E+00,5.506504E-01,3.214043E+03,1.006967E+03,1.291555E-01,7.098533E-02,2.145553E+03,6.669190E+02,8.621734E-02,4.701405E-02,3.222364E+03,1.099081E+03,1.294892E-01,7.747907E-02,2.199827E+03,8.767278E+02,8.839806E-02,6.180494E-02,3.705197E+01,4.615272E+02,1.489759E-03,3.253329E-02,9.072764E+01,3.054614E+02,3.646973E-03,2.153219E-02,8.203670E+01,5.321904E+02,3.297799E-03,3.751457E-02,1.294685E+02,4.443135E+02,5.204019E-03,3.132036E-02,1.409309E+03,1.136702E+03,5.663720E-02,8.013052E-02,1.033011E+03,7.516856E+02,4.151402E-02,5.298938E-02,1.482001E+03,1.231083E+03,5.955832E-02,8.678401E-02,1.090767E+03,9.697049E+02,4.383496E-02,6.835885E-02
02:00:00,0.000000E+00,1.983748E+04,0.000000E+00,1.398309E+00,0.000000E+00,8.318062E+03,0.000000E+00,5.863319E-01,0.000000E+00,7.919432E+03,0.000000E+00,5.582328E-01,3.330652E+03,1.015758E+03,1.338401E-01,7.160523E-02,2.218095E+03,6.710424E+02,8.913147E-02,4.730486E-02,3.333784E+03,1.105584E+03,1.339653E-01,7.793767E-02,2.271913E+03,8.739278E+02,9.129387E-02,6.160768E-02,7.048619E+01,4.689201E+02,2.833506E-03,3.305451E-02,1.309527E+02,3.088233E+02,5.263623E-03,2.176923E-02,1.303787E+02,5.370858E+02,5.240686E-03,3.785975E-02,1.768105E+02,4.424653E+02,7.106687E-03,3.119012E-02,1.506931E+03,1.150499E+03,6.055981E-02,8.110337E-02,1.096028E+03,7.589344E+02,4.404608E-02,5.350050E-02,1.578691E+03,1.242413E+03,6.344349E-02,8.758286E-02,1.153042E+03,9.697681E+02,4.633715E-02,6.836341E-02
02:15:00,0.000000E+00,1.995386E+04,0.000000E+00,1.406509E+00,0.000000E+00,8.448317E+03,0.000000E+00,5.955118E-01,0.000000E+00,8.029821E+03,0.000000E+00,5.660126E-01,3.434218E+03,1.024756E+03,1.380007E-01,7.223970E-02,2.283352E+03,6.751425E+02,9.175302E-02,4.759399E-02,3.434265E+03,1.112187E+03,1.380020E-01,7.840328E-02,2.336918E+03,8.712136E+02,9.390531E-02,6.141641E-02,1.139278E+02,4.767460E+02,4.579449E-03,3.360624E-02,1.766725E+02,3.124494E+02,7.101093E-03,2.202488E-02,1.873367E+02,5.425896E+02,7.529840E-03,3.824779E-02,2.295037E+02,4.411595E+02,9.224405E-03,3.109811E-02,1.593760E+03,1.164446E+03,6.404871E-02,8.208669E-02,1.151922E+03,7.661212E+02,4.629190E-02,5.400722E-02,1.664728E+03,1.253805E+03,6.690051E-02,8.838607E-02,1.208318E+03,9.699064E+02,4.855810E-02,6.837321E-02
02:30:00,0.000000E+00,2.006194E+04,0.000000E+00,1.414124E+00,0.000000E+00,8.570815E+03,0.000000E+00,6.041450E-01,0.000000E+00,8.131649E+03,0.000000E+00,5.731889E-01,3.526687E+03,1.031926E+03,1.417155E-01,7.274525E-02,2.342937E+03,6.779840E+02,9.414683E-02,4.779438E-02,3.526088E+03,1.116904E+03,1.416910E-01,7.873595E-02,2.396412E+03,8.674142E+02,9.629550E-02,6.114861E-02,1.655572E+02,4.830098E+02,6.654448E-03,3.404784E-02,2.274147E+02,3.151090E+02,9.140398E-03,2.221240E-02,2.521419E+02,5.466702E+02,1.013436E-02,3.853551E-02,2.871054E+02,4.390998E+02,1.153938E-02,3.095295E-02,1.672037E+03,1.176551E+03,6.719394E-02,8.294012E-02,1.202166E+03,7.720373E+02,4.831067E-02,5.442435E-02,1.742297E+03,1.263311E+03,7.001723E-02,8.905632E-02,1.258026E+03,9.689698E+02,5.055531E-02,6.830723E-02
