Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,63298786.719446,63298786.719446,14043111.9262062,0.0,0.0 
 01/21  02:00:00,62388405.3537211,62388405.3537211,15964738.5968011,0.0,0.0 
 01/21  03:00:00,57584752.9831304,57584752.9831304,13985910.3704059,0.0,0.0 
 01/21  04:00:00,92623428.2355329,92623428.2355329,18957823.7585012,0.0,0.0 
 01/21  05:00:00,95538860.6502903,95538860.6502903,20255967.8769675,0.0,0.0 
 01/21  06:00:00,195461851.002898,195461851.002898,15174777.4568769,0.0,0.0 
 01/21  07:00:00,523103357.05655,523103357.05655,13943492.7901543,0.0,0.0 
 01/21  08:00:00,638130160.129707,638130160.129707,356816851.846417,0.0,0.0 
 01/21  09:00:00,541568816.676257,541568816.676257,352788912.275353,0.0,0.0 
 01/21  10:00:00,513152444.678532,513152444.678532,351570053.460593,0.0,0.0 
 01/21  11:00:00,496030467.240246,496030467.240246,350918772.154812,0.0,0.0 
 01/21  12:00:00,482795911.769549,482795911.769549,350555586.883518,0.0,0.0 
 01/21  13:00:00,471935652.152932,471935652.152932,350304854.669248,0.0,0.0 
 01/21  14:00:00,462450878.497191,462450878.497191,350097812.914952,0.0,0.0 
 01/21  15:00:00,454197300.205539,454197300.205539,349905771.741214,0.0,0.0 
 01/21  16:00:00,446845845.143698,446845845.143698,349723593.529445,0.0,0.0 
 01/21  17:00:00,440136704.940742,440136704.940742,349553513.609181,0.0,0.0 
 01/21  18:00:00,453295662.729765,453295662.729765,349373918.318044,0.0,0.0 
 01/21  19:00:00,382147376.058024,382147376.058024,6791184.,0.0,0.0 
 01/21  20:00:00,401859050.436695,401859050.436695,6791184.,0.0,0.0 
 01/21  21:00:00,269721621.988856,269721621.988856,6791184.,0.0,0.0 
 01/21  22:00:00,401781786.72495,401781786.72495,6791184.,0.0,0.0 
 01/21  23:00:00,23903716.7785531,23903716.7785531,7085288.42989291,0.0,0.0 
 01/21  24:00:00,38864006.566906,38864006.566906,9312971.31856647,0.0,0.0 
 07/21  01:00:00,484008616.993853,484008616.993853,6791184.,152517470.754275,224813060.552967 
 07/21  02:00:00,484336238.481754,484336238.481754,6791184.,152517470.754275,224813060.552967 
 07/21  03:00:00,456297970.428424,456297970.428424,6791184.,152517470.754275,224813060.552967 
 07/21  04:00:00,490999515.613709,490999515.613709,6791184.,152517470.754275,224813060.552967 
 07/21  05:00:00,483060543.05216,483060543.05216,6791184.,152517470.754275,224813060.552967 
 07/21  06:00:00,421796637.727009,421796637.727009,6791184.,127102446.884894,224813060.552967 
 07/21  07:00:00,561940444.109611,561940444.109611,6791184.,120037894.752015,224813060.552967 
 07/21  08:00:00,686642716.616808,686642716.616808,6791184.,119991185.404671,224813060.552967 
 07/21  09:00:00,697775826.877522,697775826.877522,6791184.,119991185.404671,224813060.552967 
 07/21  10:00:00,693835746.217864,693835746.217864,6791184.,119991185.404671,224813060.552967 
 07/21  11:00:00,687057907.268253,687057907.268253,6791184.,119991185.404671,224813060.552967 
 07/21  12:00:00,690227650.184436,690227650.184435,15902567.2880595,119991185.404671,224813060.552967 
 07/21  13:00:00,695317341.87965,695317341.87965,25717124.4658965,119991185.404671,224813060.552967 
 07/21  14:00:00,711841363.679081,711841363.679081,25647640.9426852,119991185.404671,224813060.552967 
 07/21  15:00:00,717971216.016906,717971216.016906,15626078.3891132,119991185.404671,224813060.552967 
