Time,PACU_VAV_BOT:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:Des Heat Cap [W],PACU_VAV_BOT:Des Sens Cool Cap [W],PACU_VAV_MID:Des Heat Mass Flow [kg/s],PACU_VAV_MID:Des Cool Mass Flow [kg/s],PACU_VAV_MID:Des Heat Cap [W],PACU_VAV_MID:Des Sens Cool Cap [W],PACU_VAV_TOP:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:Des Heat Cap [W],PACU_VAV_TOP:Des Sens Cool Cap [W] 
00:15:00,8.417723E-01,1.611766E+00,2.461459E+04,1.662482E+04,8.417723E-01,8.417723E-01,2.461459E+04,8.234045E+03,8.417723E-01,8.417723E-01,2.461459E+04,8.234045E+03 
00:30:00,8.417723E-01,1.657302E+00,2.461459E+04,1.707177E+04,8.417723E-01,8.417723E-01,2.461459E+04,8.116047E+03,8.417723E-01,8.417723E-01,2.461459E+04,8.116047E+03 
00:45:00,8.417723E-01,1.685619E+00,2.461459E+04,1.727615E+04,8.417723E-01,8.682145E-01,2.461459E+04,8.249288E+03,8.476549E-01,8.471700E-01,2.478660E+04,8.049335E+03 
01:00:00,8.417723E-01,1.702754E+00,2.461459E+04,1.732081E+04,8.417723E-01,8.875125E-01,2.461459E+04,8.308237E+03,8.711726E-01,8.641531E-01,2.547429E+04,8.089564E+03 
01:15:00,8.417723E-01,1.715177E+00,2.461459E+04,1.736322E+04,8.417723E-01,9.024397E-01,2.461459E+04,8.363641E+03,8.964000E-01,8.764705E-01,2.621198E+04,8.122962E+03 
01:30:00,8.417723E-01,1.725532E+00,2.461459E+04,1.737677E+04,8.417723E-01,9.145203E-01,2.461459E+04,8.390138E+03,9.159301E-01,8.868186E-01,2.678306E+04,8.135992E+03 
01:45:00,8.417723E-01,1.734544E+00,2.461459E+04,1.737153E+04,8.417723E-01,9.245882E-01,2.461459E+04,8.396099E+03,9.328363E-01,8.953994E-01,2.727742E+04,8.131039E+03 
02:00:00,8.417723E-01,1.742531E+00,2.461459E+04,1.735200E+04,8.417723E-01,9.334878E-01,2.461459E+04,8.389680E+03,9.477217E-01,9.029602E-01,2.771269E+04,8.115314E+03 
02:15:00,8.417723E-01,1.750716E+00,2.461459E+04,1.736800E+04,8.417723E-01,9.426494E-01,2.461459E+04,8.405950E+03,9.610747E-01,9.107176E-01,2.810316E+04,8.121203E+03 
02:30:00,8.417723E-01,1.758316E+00,2.461459E+04,1.737582E+04,8.417723E-01,9.511880E-01,2.461459E+04,8.415425E+03,9.732017E-01,9.178711E-01,2.845777E+04,8.120660E+03 
02:45:00,8.417723E-01,1.765428E+00,2.461459E+04,1.737684E+04,8.417723E-01,9.592307E-01,2.461459E+04,8.419349E+03,9.844222E-01,9.245196E-01,2.878587E+04,8.114683E+03 
03:00:00,8.417723E-01,1.772141E+00,2.461459E+04,1.737228E+04,8.417723E-01,9.668866E-01,2.461459E+04,8.418778E+03,9.949086E-01,9.307542E-01,2.909251E+04,8.104169E+03 
03:15:00,8.417723E-01,1.778541E+00,2.461459E+04,1.736333E+04,8.417723E-01,9.742350E-01,2.461459E+04,8.414479E+03,1.004872E+00,9.366651E-01,2.938385E+04,8.089987E+03 
03:30:00,8.417723E-01,1.784665E+00,2.461459E+04,1.735054E+04,8.417723E-01,9.813225E-01,2.461459E+04,8.406914E+03,1.014517E+00,9.422975E-01,2.966587E+04,8.072589E+03 
03:45:00,8.417723E-01,1.790540E+00,2.461459E+04,1.733427E+04,8.417723E-01,9.881823E-01,2.461459E+04,8.396420E+03,1.023901E+00,9.476846E-01,2.994030E+04,8.052317E+03 
04:00:00,8.417723E-01,1.796191E+00,2.461459E+04,1.731487E+04,8.417723E-01,9.948431E-01,2.461459E+04,8.383289E+03,1.033002E+00,9.528558E-01,3.020641E+04,8.029472E+03 
04:15:00,8.417723E-01,1.801612E+00,2.461459E+04,1.732503E+04,8.417723E-01,1.001293E+00,2.461459E+04,8.390857E+03,1.041886E+00,9.578165E-01,3.046619E+04,8.026520E+03 
04:30:00,8.417723E-01,1.806825E+00,2.461459E+04,1.733228E+04,8.417723E-01,1.007562E+00,2.461459E+04,8.396310E+03,1.050581E+00,9.625929E-01,3.072043E+04,8.021568E+03 
04:45:00,8.417723E-01,1.811847E+00,2.461459E+04,1.733688E+04,8.417723E-01,1.013674E+00,2.461459E+04,8.399874E+03,1.059078E+00,9.672062E-01,3.096890E+04,8.014819E+03 
05:00:00,8.417723E-01,1.816749E+00,2.461459E+04,1.733979E+04,8.417723E-01,1.019852E+00,2.461459E+04,8.403421E+03,1.067396E+00,9.717144E-01,3.121214E+04,8.006772E+03 
05:15:00,8.417723E-01,1.908469E+00,2.461459E+04,1.863975E+04,8.878950E-01,1.146433E+00,2.596328E+04,9.499989E+03,1.160342E+00,1.065172E+00,3.393000E+04,8.826617E+03 
