Date/Time,CORE_BOTTOM:Zone Mean Air Temperature [C](Hourly),TOPFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),MIDFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),FIRSTFLOOR_PLENUM:Zone Mean Air Temperature [C](Hourly),CORE_MID:Zone Mean Air Temperature [C](Hourly),CORE_TOP:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_TOP_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_BOT_ZN_4:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_3:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_2:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_1:Zone Mean Air Temperature [C](Hourly),PERIMETER_MID_ZN_4:Zone Mean Air Temperature [C](Hourly) 
 01/21  01:00:00,19.6873460654555,13.9398039427252,17.1566289335886,17.9338946128694,18.5227880225837,17.2968253218876,15.2715234197172,15.2351248788591,15.2524680568443,15.2186091426071,15.5384297607616,15.3966573242275,15.4605853481454,15.3277097234222,15.3917089226468,15.3544316595327,15.3777905911687,15.3399757348487 
 01/21  02:00:00,19.3401875182396,13.6206457297986,16.9661075969712,17.7646810812761,18.2061902968676,17.0020993529157,15.2253220904211,15.2181569476835,15.2362688116362,15.2091152194577,15.4550406532471,15.3807106127741,15.4167009280643,15.3470648971767,15.4112814106617,15.3826962669154,15.4008509039168,15.371525733876 
 01/21  03:00:00,18.939404570955,13.1914419036676,16.8563891361876,17.5798717234783,18.1405951524128,16.8251580075684,14.8073021150783,14.7788512370845,14.8207783411681,14.7611445605773,15.5208276149403,15.4967564808609,15.5093048516311,15.4869610008534,15.1472274997128,15.0853378874423,15.123732355263,15.0606298419552 
 01/21  04:00:00,18.7800355000017,13.0603560697978,16.7154988814887,17.4520694472949,17.9992300253802,16.6118057553042,15.1383393248476,15.1169503626491,15.1433141690794,15.1045956489078,15.50392781707,15.4798204754064,15.4922854068871,15.4697789767159,15.3250734441196,15.2780203888272,15.3036867366222,15.258191366028 
 01/21  05:00:00,18.7599577357828,12.9181812526962,16.6017652017732,17.3640576309349,17.8764336449245,16.4279953227256,15.1418424288982,15.1238831029927,15.1529122424523,15.1053698170593,15.369055340928,15.3206648445355,15.3459439207581,15.3006248399398,15.3224742713264,15.281047195199,15.2975181303579,15.2742442356274 
 01/21  06:00:00,18.657616471796,12.920188118235,16.6243472696977,17.4661919192181,17.7949340418633,17.1330941570838,15.8593901844981,15.8183642150021,15.8517220910604,15.8007258596707,17.1255946390004,17.1089651051035,17.1171707850791,17.0933224873724,16.1833319110948,16.1404398380275,16.1766198617958,16.1181695305127 
 01/21  07:00:00,19.5844989926768,14.5782895412147,17.5671521545985,18.2147964369152,19.5284994442255,19.4646902647201,19.3631217953305,19.3393246645079,19.3533212620399,19.3373218084291,19.5188159802294,19.5230245604077,19.5152455098022,19.5197619639671,19.37350262546,19.3458847987875,19.3586042512197,19.3387274331026 
 01/21  08:00:00,20.9590896948387,16.2527176897636,18.4029431808973,18.9046792281566,20.9156151301038,20.9163744503431,20.9588921817057,20.9381191753811,20.949299045219,20.9374154779423,20.9336066755626,20.9255414021112,20.9119010364395,20.9162392981384,20.9407182576893,20.888374713466,20.9245002833868,20.8824847261578 
 01/21  09:00:00,21.0000370979298,17.1277525808603,18.6514368930902,19.1271229078587,21.0000507975576,21.0000682949313,21.0003746007343,21.0003958669704,21.0003026339055,21.0003903165218,21.0003417802392,21.0003569582043,21.0002871165128,21.0003618529818,21.0003563661596,21.0003593689591,21.0002852280801,21.0003665414216 
 01/21  10:00:00,21.0000334335142,17.4363618648626,18.7308826667968,19.189514468478,21.0000476509578,21.0000619466809,21.0005028396383,21.0005163364945,21.0003922093798,21.0005091980216,21.0004643936573,21.0004677522666,21.000375590786,21.000474929225,21.0004895847433,21.0004770198356,21.0003753962657,21.0004868008199 
 01/21  11:00:00,21.0000333028911,17.578260594517,18.8010243392665,19.2427924342143,21.0000495021261,21.0000623160094,21.000627607591,21.0006283574748,21.0004787414098,21.0006188205991,21.0005869900083,21.0005739121645,21.0004638855961,21.0005829799111,21.0006207216943,21.0005847206993,21.0004636841222,21.0005972011922 
 01/21  12:00:00,21.000036465836,17.652674550679,18.8671582824497,19.2925548030268,21.0000546965333,21.0000682748041,21.0006543202054,21.0006276492699,21.0004882795289,21.0006178797616,21.0006226188427,21.0005762061671,21.000478765514,21.0005855098384,21.0006554521711,21.000585487123,21.0004757339411,21.0005982544438 
 01/21  13:00:00,21.0000415379459,17.6978160003115,18.9298029006208,19.3394639690585,21.0000621085822,21.0000765608327,21.0007130873199,21.0006855805336,21.000532925354,21.0006751233669,21.0006822199423,21.0006317354275,21.0005240854559,21.0006419339065,21.0007169931795,21.0006413954602,21.0005206647185,21.0006553668399 
 01/21  14:00:00,21.000043877184,17.7304179232275,18.9893973912258,19.3839846499872,21.000065215363,21.000080402728,21.0006814699724,21.0006289254301,21.0004997516297,21.0006188309016,21.0006622009842,21.0005835280271,21.0004978942578,21.0005931517926,21.0006909118254,21.0005888342717,21.0004900838781,21.0006019973437 
 01/21  15:00:00,21.000046521854,17.7562740547918,19.0458746542171,19.4261297120488,21.0000680061142,21.0000837823779,21.0006384072006,21.0005797886537,21.0004658979185,21.0005705652648,21.0006269633137,21.0005406066612,21.000467472681,21.0005495527032,21.0006500151495,21.0005434849202,21.0004576032696,21.0005556661349 
 01/21  16:00:00,21.0000465153686,17.7779470911056,19.0992762032746,19.4659605558609,21.0000668531622,21.0000826494944,21.0005521789139,21.0004851160508,21.0003982223045,21.0004773128229,21.0005504052712,21.00045515916,21.0004039783451,21.0004627701676,21.0005654856888,21.0004547621402,21.0003917216842,21.0004650674598 
 01/21  17:00:00,21.00004621196,17.7967019370584,19.1496920246085,19.5035630369875,21.0000650739456,21.0000805992832,21.0004923305053,21.0004381352525,21.0003589344494,21.0004317575349,21.0004925670942,21.0004111490156,21.0003637334923,21.0004179210967,21.0005033901189,21.0004106142678,21.0003521249616,21.0004196829811 
 01/21  18:00:00,21.0000423061798,17.8132383506779,19.1972322870707,19.5390322560754,21.0000592134977,21.0000731849275,21.000451915604,21.0004014676253,21.000328857964,21.0003952337534,21.0004538784784,21.0003795224131,21.0003356377462,21.0003858415515,21.0004619004043,21.0003766563991,21.0003231626397,21.0003851546405 
 01/21  19:00:00,20.8982219572527,17.0913033577059,18.6633556222747,19.0684768699297,20.8087655714445,20.7169709915847,20.0916759004775,20.0572864543643,20.0797078886514,20.0444961943385,20.2311431573152,20.2156807964679,20.20964135893,20.1965651753879,20.1653466073916,20.1218502681263,20.1464631151428,20.1062603873871 
 01/21  20:00:00,20.905973819936,16.6664517831536,18.4810401396957,18.9612591573108,20.8210981447656,20.7269007916553,20.1565671030771,20.0977169019328,20.1355446379765,20.0842932209341,20.3289324797501,20.3076070845467,20.3026259935977,20.2885712717856,20.2184545244178,20.1496447155036,20.1895342415082,20.1294805669435 
 01/21  21:00:00,20.8102926064802,16.319156591228,18.4057486396158,18.8980551260229,20.6514435164934,20.4578129282885,19.3824795161975,19.3284336834833,19.363718369282,19.3077599431361,19.7821142803219,19.7442296475939,19.7558571347738,19.7230504041136,19.5783648830814,19.5096170505662,19.5547080688362,19.4815997326071 
 01/21  22:00:00,20.9073407711003,16.4109357104747,18.4734544808758,18.9599621658316,20.810670647971,20.7006976328287,20.036299739002,19.9824325373411,20.0156612397375,19.9683013449635,20.2529256523692,20.2310853172462,20.2286949961623,20.2127696031768,20.1319883489299,20.0630157502743,20.1076892064402,20.0393943270904 
 01/21  23:00:00,20.099324780772,15.6659640912328,18.077853655499,18.6175770226839,19.7027799623955,18.9843231757397,16.2654769464983,16.1472323156435,16.2145195324601,16.110984364602,17.3079558001923,17.127982540715,17.2229493438743,17.081029454713,16.690698325243,16.5041395026676,16.6095601006764,16.4551354588409 
 01/21  24:00:00,19.8597790382988,14.3483464704372,17.3543276216449,18.073767603245,18.8291843290037,17.7596037685094,15.1269742536251,15.0798485930152,15.1088752634903,15.0561629803485,15.9160733442055,15.7919671205192,15.8431608985698,15.726255240421,15.4409650835739,15.3910202392416,15.4195623805283,15.3687593910432 
 07/21  01:00:00,27.3276539404774,25.7136089812901,26.0511150170707,26.5185421833241,26.3016043589413,26.4041752625634,25.7629347862296,24.6807077670816,25.2837004985377,24.8808990891282,25.3498492362262,23.8599319051317,24.7366907420585,24.1237546535676,25.7415587068379,24.0265520220533,24.9633780838456,24.3503380508065 
 07/21  02:00:00,27.269376438732,25.6339448307303,26.0035753947054,26.5284321981273,26.2574588169841,26.2442216162764,25.5813899988669,24.3755598827931,25.0245022151686,24.5340364507523,25.2271545964716,23.5966318008018,24.5588000098483,23.8094864396202,25.6295093840823,23.8603269873295,24.8091606367233,24.1409583431358 
 07/21  03:00:00,27.7789821519143,25.5721048175506,26.0312658616764,26.5689345077506,26.5359294022954,26.2917494063908,25.520776641687,24.2444926742137,24.9259733323624,24.3683518442404,25.4132023165023,23.9346387956669,24.8158571836197,24.1239381173726,25.8336047196849,24.1961219623237,25.0730303308014,24.4479969215023 
 07/21  04:00:00,27.3151478774637,25.426682130556,26.0561984914197,26.6550766217355,26.4305976909426,26.121755388977,25.1730016320171,23.6262309692291,24.4215402677574,23.6754682931511,25.2258251495769,23.5434650035251,24.5538777113468,23.7052549203767,25.6304100207738,23.7256473737887,24.7374896753277,23.9531890775459 
 07/21  05:00:00,27.2730713765491,25.3118722978907,26.0313989729027,26.5978732379254,26.3922673701202,26.0633649624407,25.0970085115578,23.5412923376414,24.3335466318266,23.6039921459587,25.1898856548681,23.5120155000825,24.5088814326585,23.6645002855318,25.6068380352795,23.6952840587359,24.7105918898345,23.9200933394924 
 07/21  06:00:00,27.8019373188635,25.3343819880759,26.107202362545,26.6668180710633,26.663619433876,26.322078127665,25.5751357020529,24.6760538781549,24.6204223401142,23.9167163006003,25.6869271350946,24.7058656038503,24.7862297777195,24.0080257936536,26.1130099553201,24.8835384233688,25.0237072478783,24.2795492079874 
 07/21  07:00:00,25.6975096149777,25.5453476049057,26.0173960497952,26.3736803185468,25.4283996883384,25.3493462186787,25.1960072375077,25.1437222537353,24.4122217969289,23.4575543472267,25.2814950411228,25.198840617608,24.7232595046968,23.7361715405513,25.3779167312518,25.2023565097367,24.8452873039257,23.8381362292422 
 07/21  08:00:00,25.3101462784143,25.1909983926347,25.4799962433948,25.7511102768046,24.7647682759194,24.2252658549509,24.0595711134803,24.3798215247415,24.0071452584786,23.9697551538807,24.5683311672245,24.9963353186554,24.0502886639929,24.032722280042,24.5672852860428,24.8971317055756,24.0659326789632,24.0448369987066 
 07/21  09:00:00,25.6154057079527,25.2727047291846,25.4918409243442,25.8545831958074,24.8923972991625,24.3780348265804,24.1307487248548,25.1528820582686,24.0033795614932,24.0033585818025,24.747795346279,25.7454862449017,24.114620840828,24.1042063723342,24.7546865957274,25.6265727025302,24.1380166983697,24.1278307086156 
 07/21  10:00:00,25.7521963229158,25.5063437134055,25.5188477375446,26.0319618847869,24.6878600487177,24.0940888636054,24.012028115523,24.565922348605,24.0051482796855,24.0049536040228,25.0153024519452,25.8508515164685,24.2665236456521,24.133409637746,24.6951595201571,25.2556173450664,24.1498347786968,24.1237108163514 
 07/21  11:00:00,25.3931000766059,25.5682955724452,25.4041008731981,25.8950667497492,24.4972510543994,24.0239329772942,24.0041703476094,24.0948840201742,24.0044752700594,24.0045617547425,24.9431881260602,24.8797583210784,24.5294236332163,24.1599213825929,24.6541363487558,24.5271656278611,24.2573868006716,24.1718130996253 
 07/21  12:00:00,25.1496708797722,25.8286241609761,25.341818930281,25.7943036515088,24.3324124340564,24.0048036605001,24.0068262220086,24.0041454104919,24.0181282346569,24.0039325290107,24.8792998260379,24.2353373307286,24.8421038303661,24.1419049110422,24.5828783421431,24.1965256304094,24.4917380007967,24.1302145242711 
