Time,CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,0.000000E+00,1.819725E+04,0.000000E+00,1.283544E+00,0.000000E+00,6.571485E+03,0.000000E+00,4.635216E-01,0.000000E+00,6.317519E+03,0.000000E+00,4.456680E-01,1.999436E+03,7.676716E+02,8.036904E-02,5.423128E-02,1.369393E+03,5.194402E+02,5.504861E-02,3.669148E-02,2.045210E+03,8.654907E+02,8.220818E-02,6.113167E-02,1.433944E+03,7.622625E+02,5.764861E-02,5.377832E-02,0.000000E+00,3.306128E+02,0.000000E+00,2.331126E-02,0.000000E+00,2.277922E+02,0.000000E+00,1.605728E-02,0.000000E+00,3.994642E+02,0.000000E+00,2.818767E-02,8.384365E+00,3.608954E+02,3.381483E-04,2.550164E-02,6.432489E+02,8.578830E+02,2.587913E-02,6.060021E-02,4.989965E+02,5.794375E+02,2.007439E-02,4.092409E-02,7.010607E+02,9.599541E+02,2.820597E-02,6.779107E-02,5.496664E+02,8.328540E+02,2.211375E-02,5.873762E-02 
00:30:00,0.000000E+00,1.886302E+04,0.000000E+00,1.329855E+00,0.000000E+00,7.277167E+03,0.000000E+00,5.131784E-01,0.000000E+00,6.986304E+03,0.000000E+00,4.927228E-01,2.408851E+03,8.930018E+02,9.682129E-02,6.306173E-02,1.633672E+03,5.996944E+02,6.566789E-02,4.234466E-02,2.449382E+03,9.906022E+02,9.844875E-02,6.994361E-02,1.699478E+03,8.502225E+02,6.831832E-02,5.997022E-02,0.000000E+00,3.912301E+02,0.000000E+00,2.758420E-02,1.606585E+01,2.683289E+02,6.465554E-04,1.891474E-02,4.572174E+00,4.695429E+02,1.843858E-04,3.312758E-02,3.484401E+01,4.213837E+02,1.401598E-03,2.976555E-02,8.334272E+02,9.907953E+02,3.352206E-02,6.996165E-02,6.371543E+02,6.645349E+02,2.562664E-02,4.691804E-02,9.007173E+02,1.092855E+03,3.622978E-02,7.715353E-02,6.957161E+02,9.268415E+02,2.798313E-02,6.535480E-02 
00:45:00,0.000000E+00,1.927220E+04,0.000000E+00,1.358496E+00,0.000000E+00,7.737398E+03,0.000000E+00,5.454598E-01,0.000000E+00,7.427048E+03,0.000000E+00,5.235961E-01,2.725931E+03,9.945501E+02,1.095587E-01,7.016814E-02,1.836490E+03,6.642318E+02,7.381086E-02,4.685804E-02,2.759782E+03,1.089073E+03,1.109196E-01,7.682135E-02,1.900365E+03,9.011777E+02,7.637806E-02,6.353674E-02,7.750893E+00,4.531104E+02,3.122868E-04,3.194619E-02,4.137295E+01,3.094757E+02,1.663675E-03,2.181521E-02,3.683918E+01,5.405525E+02,1.481241E-03,3.813312E-02,6.763896E+01,4.818082E+02,2.719649E-03,3.402498E-02,1.036879E+03,1.102349E+03,4.169833E-02,7.776609E-02,7.837623E+02,7.356063E+02,3.151840E-02,5.188849E-02,1.113512E+03,1.200759E+03,4.478148E-02,8.469225E-02,8.502392E+02,9.810436E+02,3.419295E-02,6.916173E-02 
01:00:00,0.000000E+00,1.951693E+04,0.000000E+00,1.375735E+00,0.000000E+00,8.022451E+03,0.000000E+00,5.654999E-01,0.000000E+00,7.685836E+03,0.000000E+00,5.417717E-01,2.961936E+03,1.015587E+03,1.190292E-01,7.159193E-02,1.985869E+03,6.793285E+02,7.980393E-02,4.788815E-02,2.985725E+03,1.115151E+03,1.199849E-01,7.861078E-02,2.048886E+03,9.218883E+02,8.233614E-02,6.498767E-02,3.786616E+01,4.794962E+02,1.522659E-03,3.379988E-02,7.575700E+01,3.230369E+02,3.045593E-03,2.277096E-02,7.660049E+01,5.584455E+02,3.079280E-03,3.936505E-02,1.108846E+02,4.814049E+02,4.457711E-03,3.393472E-02,1.252035E+03,1.132746E+03,5.034486E-02,7.985055E-02,9.378900E+02,7.563054E+02,3.771230E-02,5.331433E-02,1.337896E+03,1.235271E+03,5.379883E-02,8.707806E-02,1.005224E+03,1.007786E+03,4.041646E-02,7.104254E-02 
01:15:00,0.000000E+00,1.969422E+04,0.000000E+00,1.388228E+00,0.000000E+00,8.231299E+03,0.000000E+00,5.802209E-01,0.000000E+00,7.871650E+03,0.000000E+00,5.548691E-01,3.152078E+03,1.031755E+03,1.266683E-01,7.273226E-02,2.105655E+03,6.894402E+02,8.461611E-02,4.860137E-02,3.168281E+03,1.131867E+03,1.273190E-01,7.978979E-02,2.166428E+03,9.314223E+02,8.705806E-02,6.566028E-02,7.605509E+01,4.565365E+02,3.057503E-03,3.218141E-02,1.186323E+02,3.063197E+02,4.768766E-03,2.159263E-02,1.310802E+02,5.346518E+02,5.268851E-03,3.768799E-02,1.618364E+02,4.742746E+02,6.505468E-03,3.343228E-02,1.394813E+03,1.155493E+03,5.605533E-02,8.145472E-02,1.026978E+03,7.706421E+02,4.127220E-02,5.432538E-02,1.475925E+03,1.258480E+03,5.931495E-02,8.871479E-02,1.093644E+03,1.021934E+03,4.395122E-02,7.204039E-02 
01:30:00,0.000000E+00,1.984197E+04,0.000000E+00,1.398636E+00,0.000000E+00,8.395492E+03,0.000000E+00,5.917931E-01,0.000000E+00,8.018685E+03,0.000000E+00,5.652320E-01,3.301422E+03,1.053777E+03,1.326678E-01,7.428500E-02,2.199046E+03,7.019842E+02,8.836766E-02,4.948586E-02,3.311045E+03,1.151001E+03,1.330539E-01,8.113897E-02,2.259439E+03,9.345199E+02,9.079423E-02,6.587893E-02,1.273569E+02,4.854040E+02,5.119351E-03,3.421633E-02,1.684571E+02,3.243354E+02,6.771224E-03,2.286260E-02,1.963058E+02,5.608309E+02,7.890285E-03,3.953342E-02,2.195481E+02,4.814096E+02,8.824885E-03,3.393528E-02,1.525658E+03,1.182726E+03,6.131305E-02,8.337477E-02,1.108818E+03,7.864123E+02,4.456059E-02,5.543730E-02,1.603197E+03,1.282538E+03,6.442900E-02,9.041107E-02,1.173817E+03,1.027732E+03,4.717259E-02,7.244935E-02 
01:45:00,0.000000E+00,1.997038E+04,0.000000E+00,1.407681E+00,0.000000E+00,8.537500E+03,0.000000E+00,6.018013E-01,0.000000E+00,8.142316E+03,0.000000E+00,5.739451E-01,3.431048E+03,1.066051E+03,1.378749E-01,7.515051E-02,2.280332E+03,7.082966E+02,9.163269E-02,4.993105E-02,3.435506E+03,1.160856E+03,1.380533E-01,8.183398E-02,2.340344E+03,9.331446E+02,9.404395E-02,6.578218E-02,1.885838E+02,4.955692E+02,7.580079E-03,3.493302E-02,2.244596E+02,3.289919E+02,9.021946E-03,2.319094E-02,2.710638E+02,5.675519E+02,1.089481E-02,4.000735E-02,2.832937E+02,4.806031E+02,1.138679E-02,3.387852E-02,1.645473E+03,1.200121E+03,6.612749E-02,8.460132E-02,1.183896E+03,7.959168E+02,4.757725E-02,5.610751E-02,1.720141E+03,1.297321E+03,6.912796E-02,9.145349E-02,1.247212E+03,1.029247E+03,5.012155E-02,7.255635E-02 
02:00:00,0.000000E+00,2.008406E+04,0.000000E+00,1.415690E+00,0.000000E+00,8.665321E+03,0.000000E+00,6.108095E-01,0.000000E+00,8.251094E+03,0.000000E+00,5.816110E-01,3.543799E+03,1.074433E+03,1.424044E-01,7.574164E-02,2.352120E+03,7.119286E+02,9.451658E-02,5.018722E-02,3.545747E+03,1.166660E+03,1.424820E-01,8.224335E-02,2.411927E+03,9.291263E+02,9.691962E-02,6.549903E-02,2.586891E+02,5.018482E+02,1.039761E-02,3.537572E-02,2.860354E+02,3.315085E+02,1.149664E-02,2.336839E-02,3.544332E+02,5.711725E+02,1.424540E-02,4.026267E-02,3.524978E+02,4.778605E+02,1.416804E-02,3.368523E-02,1.740329E+03,1.213459E+03,6.993885E-02,8.554175E-02,1.245000E+03,8.026378E+02,5.003238E-02,5.658143E-02,1.813995E+03,1.307914E+03,7.289905E-02,9.220042E-02,1.307600E+03,1.028052E+03,5.254787E-02,7.247223E-02 
02:15:00,0.000000E+00,2.020041E+04,0.000000E+00,1.423887E+00,0.000000E+00,8.796554E+03,0.000000E+00,6.200582E-01,0.000000E+00,8.362383E+03,0.000000E+00,5.894541E-01,3.644175E+03,1.082934E+03,1.464366E-01,7.634108E-02,2.417081E+03,7.154922E+02,9.712630E-02,5.043853E-02,3.645662E+03,1.172505E+03,1.464960E-01,8.265556E-02,2.476841E+03,9.251998E+02,9.952744E-02,6.522229E-02,3.368809E+02,5.086645E+02,1.354012E-02,3.585628E-02,3.527025E+02,3.343860E+02,1.417593E-02,2.357128E-02,4.456771E+02,5.754875E+02,1.791244E-02,4.056692E-02,4.183160E+02,4.756268E+02,1.681201E-02,3.352781E-02,1.824863E+03,1.226878E+03,7.333540E-02,8.648786E-02,1.299297E+03,8.092646E+02,5.221395E-02,5.704867E-02,1.897651E+03,1.318525E+03,7.626029E-02,9.294860E-02,1.361282E+03,1.026950E+03,5.470469E-02,7.239453E-02 
02:30:00,0.000000E+00,2.030835E+04,0.000000E+00,1.431493E+00,0.000000E+00,8.919847E+03,0.000000E+00,6.287474E-01,0.000000E+00,8.464891E+03,0.000000E+00,5.966783E-01,3.735240E+03,1.089558E+03,1.500949E-01,7.680816E-02,2.476815E+03,7.177769E+02,9.952612E-02,5.059966E-02,3.737427E+03,1.176440E+03,1.501827E-01,8.293307E-02,2.536756E+03,9.202105E+02,1.019346E-01,6.487060E-02,4.225217E+02,5.139502E+02,1.698198E-02,3.622895E-02,4.080045E+02,3.363855E+02,1.639757E-02,2.371227E-02,5.396283E+02,5.784160E+02,2.168764E-02,4.077342E-02,4.706831E+02,4.726187E+02,1.891651E-02,3.331579E-02,1.901395E+03,1.238421E+03,7.641044E-02,8.730170E-02,1.348154E+03,8.146105E+02,5.417692E-02,5.742559E-02,1.973388E+03,1.327237E+03,7.930334E-02,9.356282E-02,1.409748E+03,1.024803E+03,5.665196E-02,7.224322E-02 
