Time,BASEMENT::Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],BASEMENT::Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.614389E+03,0.000000E+00,1.050758E-01,0.000000E+00,1.289540E+05,0.000000E+00,5.182837E+00,0.000000E+00,9.513973E+04,0.000000E+00,3.822831E+00,0.000000E+00,1.234015E+04,0.000000E+00,4.958875E-01,0.000000E+00,8.395324E+03,0.000000E+00,3.373636E-01,0.000000E+00,1.256207E+04,0.000000E+00,5.048053E-01,0.000000E+00,8.380918E+03,0.000000E+00,3.367847E-01,0.000000E+00,1.540770E+05,0.000000E+00,6.191586E+00,0.000000E+00,1.020660E+05,0.000000E+00,4.101502E+00,0.000000E+00,1.552329E+05,0.000000E+00,6.238034E+00,0.000000E+00,1.034866E+05,0.000000E+00,4.158589E+00,0.000000E+00,2.627271E+04,0.000000E+00,1.055558E+00,0.000000E+00,1.714176E+04,0.000000E+00,6.887023E-01,0.000000E+00,2.634856E+04,0.000000E+00,1.058606E+00,0.000000E+00,1.733537E+04,0.000000E+00,6.964806E-01,0.000000E+00
00:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.609375E+03,0.000000E+00,1.048743E-01,0.000000E+00,1.289386E+05,0.000000E+00,5.182220E+00,0.000000E+00,9.519818E+04,0.000000E+00,3.825180E+00,0.000000E+00,1.233945E+04,0.000000E+00,4.958594E-01,0.000000E+00,8.394879E+03,0.000000E+00,3.373458E-01,0.000000E+00,1.256138E+04,0.000000E+00,5.047776E-01,0.000000E+00,8.380474E+03,0.000000E+00,3.367669E-01,0.000000E+00,1.540754E+05,0.000000E+00,6.191521E+00,0.000000E+00,1.020649E+05,0.000000E+00,4.101461E+00,0.000000E+00,1.552313E+05,0.000000E+00,6.237970E+00,0.000000E+00,1.034855E+05,0.000000E+00,4.158548E+00,0.000000E+00,2.627474E+04,0.000000E+00,1.055640E+00,0.000000E+00,1.714306E+04,0.000000E+00,6.887543E-01,0.000000E+00,2.635057E+04,0.000000E+00,1.058687E+00,0.000000E+00,1.733666E+04,0.000000E+00,6.965326E-01,0.000000E+00
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.604391E+03,0.000000E+00,1.046740E-01,0.000000E+00,1.289234E+05,0.000000E+00,5.181606E+00,0.000000E+00,9.525520E+04,0.000000E+00,3.827471E+00,0.000000E+00,1.233875E+04,0.000000E+00,4.958315E-01,0.000000E+00,8.394437E+03,0.000000E+00,3.373280E-01,0.000000E+00,1.256069E+04,0.000000E+00,5.047500E-01,0.000000E+00,8.380032E+03,0.000000E+00,3.367491E-01,0.000000E+00,1.540738E+05,0.000000E+00,6.191457E+00,0.000000E+00,1.020639E+05,0.000000E+00,4.101420E+00,0.000000E+00,1.552297E+05,0.000000E+00,6.237905E+00,0.000000E+00,1.034845E+05,0.000000E+00,4.158507E+00,0.000000E+00,2.627672E+04,0.000000E+00,1.055719E+00,0.000000E+00,1.714432E+04,0.000000E+00,6.888051E-01,0.000000E+00,2.635254E+04,0.000000E+00,1.058766E+00,0.000000E+00,1.733792E+04,0.000000E+00,6.965834E-01,0.000000E+00
00:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.599437E+03,0.000000E+00,1.044749E-01,0.000000E+00,1.289082E+05,0.000000E+00,5.180997E+00,0.000000E+00,9.531083E+04,0.000000E+00,3.829707E+00,0.000000E+00,1.233806E+04,0.000000E+00,4.958038E-01,0.000000E+00,8.393998E+03,0.000000E+00,3.373103E-01,0.000000E+00,1.256001E+04,0.000000E+00,5.047225E-01,0.000000E+00,8.379592E+03,0.000000E+00,3.367314E-01,0.000000E+00,1.540722E+05,0.000000E+00,6.191392E+00,0.000000E+00,1.020629E+05,0.000000E+00,4.101379E+00,0.000000E+00,1.552281E+05,0.000000E+00,6.237841E+00,0.000000E+00,1.034835E+05,0.000000E+00,4.158466E+00,0.000000E+00,2.627866E+04,0.000000E+00,1.055797E+00,0.000000E+00,1.714556E+04,0.000000E+00,6.888548E-01,0.000000E+00,2.635447E+04,0.000000E+00,1.058843E+00,0.000000E+00,1.733916E+04,0.000000E+00,6.966330E-01,0.000000E+00
00:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.594513E+03,0.000000E+00,1.042769E-01,0.000000E+00,1.288931E+05,0.000000E+00,5.180391E+00,0.000000E+00,9.536511E+04,0.000000E+00,3.831888E+00,0.000000E+00,1.233738E+04,0.000000E+00,4.957762E-01,0.000000E+00,8.393560E+03,0.000000E+00,3.372927E-01,0.000000E+00,1.255933E+04,0.000000E+00,5.046952E-01,0.000000E+00,8.379154E+03,0.000000E+00,3.367138E-01,0.000000E+00,1.540706E+05,0.000000E+00,6.191327E+00,0.000000E+00,1.020619E+05,0.000000E+00,4.101338E+00,0.000000E+00,1.552265E+05,0.000000E+00,6.237778E+00,0.000000E+00,1.034825E+05,0.000000E+00,4.158425E+00,0.000000E+00,2.628055E+04,0.000000E+00,1.055873E+00,0.000000E+00,1.714676E+04,0.000000E+00,6.889033E-01,0.000000E+00,2.635635E+04,0.000000E+00,1.058919E+00,0.000000E+00,1.734036E+04,0.000000E+00,6.966814E-01,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.589603E+03,0.000000E+00,1.040796E-01,0.000000E+00,1.288781E+05,0.000000E+00,5.179787E+00,0.000000E+00,9.541616E+04,0.000000E+00,3.833939E+00,0.000000E+00,1.233669E+04,0.000000E+00,4.957486E-01,0.000000E+00,8.393123E+03,0.000000E+00,3.372752E-01,0.000000E+00,1.255865E+04,0.000000E+00,5.046680E-01,0.000000E+00,8.378717E+03,0.000000E+00,3.366963E-01,0.000000E+00,1.540690E+05,0.000000E+00,6.191262E+00,0.000000E+00,1.020609E+05,0.000000E+00,4.101297E+00,0.000000E+00,1.552249E+05,0.000000E+00,6.237713E+00,0.000000E+00,1.034815E+05,0.000000E+00,4.158384E+00,0.000000E+00,2.628233E+04,0.000000E+00,1.055945E+00,0.000000E+00,1.714790E+04,0.000000E+00,6.889490E-01,0.000000E+00,2.635812E+04,0.000000E+00,1.058990E+00,0.000000E+00,1.734150E+04,0.000000E+00,6.967271E-01,0.000000E+00
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.589920E+03,0.000000E+00,1.040923E-01,0.000000E+00,1.288792E+05,0.000000E+00,5.179832E+00,0.000000E+00,9.546652E+04,0.000000E+00,3.835963E+00,0.000000E+00,1.233675E+04,0.000000E+00,4.957512E-01,0.000000E+00,8.393165E+03,0.000000E+00,3.372769E-01,0.000000E+00,1.255871E+04,0.000000E+00,5.046705E-01,0.000000E+00,8.378759E+03,0.000000E+00,3.366980E-01,0.000000E+00,1.540694E+05,0.000000E+00,6.191279E+00,0.000000E+00,1.020611E+05,0.000000E+00,4.101308E+00,0.000000E+00,1.552253E+05,0.000000E+00,6.237730E+00,0.000000E+00,1.034817E+05,0.000000E+00,4.158395E+00,0.000000E+00,2.628407E+04,0.000000E+00,1.056015E+00,0.000000E+00,1.714901E+04,0.000000E+00,6.889938E-01,0.000000E+00,2.635985E+04,0.000000E+00,1.059060E+00,0.000000E+00,1.734261E+04,0.000000E+00,6.967718E-01,0.000000E+00
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.590225E+03,0.000000E+00,1.041046E-01,0.000000E+00,1.288803E+05,3.634197E+03,5.179876E+00,2.226014E-01,9.551444E+04,0.000000E+00,3.837888E+00,0.000000E+00,1.233681E+04,0.000000E+00,4.957536E-01,0.000000E+00,8.393204E+03,0.000000E+00,3.372785E-01,0.000000E+00,1.255877E+04,0.000000E+00,5.046730E-01,0.000000E+00,8.378799E+03,0.000000E+00,3.366996E-01,0.000000E+00,1.540698E+05,0.000000E+00,6.191295E+00,0.000000E+00,1.020614E+05,0.000000E+00,4.101319E+00,0.000000E+00,1.552257E+05,0.000000E+00,6.237746E+00,0.000000E+00,1.034820E+05,0.000000E+00,4.158406E+00,0.000000E+00,2.628573E+04,0.000000E+00,1.056081E+00,0.000000E+00,1.715007E+04,0.000000E+00,6.890362E-01,0.000000E+00,2.636150E+04,0.000000E+00,1.059126E+00,0.000000E+00,1.734367E+04,0.000000E+00,6.968142E-01,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.590532E+03,0.000000E+00,1.041169E-01,0.000000E+00,1.288814E+05,7.313972E+03,5.179921E+00,4.479373E-01,9.556193E+04,0.000000E+00,3.839796E+00,0.000000E+00,1.233688E+04,0.000000E+00,4.957560E-01,0.000000E+00,8.393244E+03,0.000000E+00,3.372800E-01,0.000000E+00,1.255883E+04,0.000000E+00,5.046754E-01,0.000000E+00,8.378838E+03,0.000000E+00,3.367011E-01,0.000000E+00,1.540702E+05,0.000000E+00,6.191311E+00,0.000000E+00,1.020617E+05,0.000000E+00,4.101330E+00,0.000000E+00,1.552261E+05,0.000000E+00,6.237762E+00,0.000000E+00,1.034823E+05,0.000000E+00,4.158416E+00,0.000000E+00,2.628735E+04,0.000000E+00,1.056146E+00,0.000000E+00,1.715111E+04,0.000000E+00,6.890779E-01,0.000000E+00,2.636311E+04,0.000000E+00,1.059191E+00,0.000000E+00,1.734470E+04,0.000000E+00,6.968558E-01,0.000000E+00
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.590828E+03,0.000000E+00,1.041288E-01,0.000000E+00,1.288825E+05,1.258995E+04,5.179963E+00,7.710186E-01,9.560718E+04,0.000000E+00,3.841615E+00,0.000000E+00,1.233693E+04,0.000000E+00,4.957584E-01,0.000000E+00,8.393282E+03,0.000000E+00,3.372816E-01,0.000000E+00,1.255889E+04,0.000000E+00,5.046777E-01,0.000000E+00,8.378876E+03,0.000000E+00,3.367027E-01,0.000000E+00,1.540706E+05,0.000000E+00,6.191327E+00,0.000000E+00,1.020619E+05,0.000000E+00,4.101340E+00,0.000000E+00,1.552265E+05,0.000000E+00,6.237778E+00,0.000000E+00,1.034825E+05,0.000000E+00,4.158427E+00,0.000000E+00,2.628890E+04,0.000000E+00,1.056208E+00,0.000000E+00,1.715209E+04,0.000000E+00,6.891175E-01,0.000000E+00,2.636465E+04,0.000000E+00,1.059252E+00,0.000000E+00,1.734569E+04,0.000000E+00,6.968954E-01,0.000000E+00
