Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  00:05:00,,,,17.27147297,1.918783072
 01/21  00:10:00,,,,16.22884814,1.918783072
 01/21  00:15:00,8.649323486,15.49009358,30,16.52693279,1.918783072
 01/21  00:30:00,8.649323486,15.59288278,30,16.51492728,1.918783072
 01/21  00:33:45,,,,14.42614224,0
 01/21  00:37:30,,,,14.24167935,0
 01/21  00:41:15,,,,14.03739679,0
 01/21  00:45:00,8.649323486,14.69784399,30,13.85307488,0
 01/21  00:50:00,,,,17.2757409,1.918783072
 01/21  00:55:00,,,,16.22980957,1.918783072
 01/21  01:00:00,8.649323486,15.48972066,30,16.52876632,1.918783072
 01/21  01:15:00,8.649323486,15.59285917,30,16.51854189,1.918783072
 01/21  01:18:45,,,,14.42442122,0
 01/21  01:22:30,,,,14.23977585,0
 01/21  01:26:15,,,,14.03534515,0
 01/21  01:30:00,8.649323486,14.69517879,30,13.85089874,0
 01/21  01:35:00,,,,17.27964628,1.918783072
 01/21  01:40:00,,,,16.23067748,1.918783072
 01/21  01:45:00,8.649323486,15.48937704,30,16.5304328,1.918783072
 01/21  02:00:00,8.649323486,15.59283747,30,16.5218799,1.918783072
 01/21  02:03:45,,,,14.42282843,0
 01/21  02:07:30,,,,14.23801384,0
 01/21  02:11:15,,,,14.03344557,0
 01/21  02:15:00,8.649323486,14.69271907,30,13.8488836,0
 01/21  02:20:00,,,,17.28323663,1.918783072
 01/21  02:25:00,,,,16.23146719,1.918783072
 01/21  02:30:00,8.649323486,15.48905945,30,16.53195698,1.918783072
 01/21  02:45:00,8.649323486,15.59281745,30,16.52496796,1.918783072
 01/21  02:48:45,,,,14.42135214,0
 01/21  02:52:30,,,,14.23638051,0
 01/21  02:56:15,,,,14.03168423,0
 01/21  03:00:00,8.649323486,14.69044468,30,13.84701481,0
 01/21  03:05:00,,,,17.28654582,1.918783072
 01/21  03:10:00,,,,16.23218886,1.918783072
 01/21  03:15:00,8.649323486,15.48876544,30,16.5333558,1.918783072
 01/21  03:30:00,8.649323486,15.59279894,30,16.52782822,1.918783072
 01/21  03:33:45,,,,14.41998149,0
 01/21  03:37:30,,,,14.2348639,0
 01/21  03:41:15,,,,14.03004831,0
 01/21  03:45:00,8.649323486,14.68833899,30,13.84527881,0
 01/21  03:50:00,,,,17.28960104,1.918783072
 01/21  03:55:00,,,,16.23285022,1.918783072
 01/21  04:00:00,8.649323486,15.48849293,30,16.53464243,1.918783072
 01/21  04:15:00,8.649323486,15.5927818,30,16.53048,1.918783072
 01/21  04:18:45,,,,14.41870694,0
 01/21  04:22:30,,,,14.23345348,0
 01/21  04:26:15,,,,14.0285265,0
 01/21  04:30:00,8.649323486,14.68638749,30,13.84366364,0
 01/21  04:35:00,,,,17.2924255,1.918783072
 01/21  04:40:00,,,,16.2334576,1.918783072
 01/21  04:45:00,8.649323486,15.48824012,30,16.53582787,1.918783072
 01/21  05:00:00,8.649323486,15.59276592,30,16.53294065,1.918783072
 01/21  05:03:45,,,,14.41752013,0
 01/21  05:07:30,,,,14.23214,0
 01/21  05:11:15,,,,14.02710892,0
 01/21  05:15:00,8.649323486,14.68457726,30,13.84215883,0
