Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,99239918.814147,99239918.814147,15343598.1594232,0.0,0.0 
 01/21  02:00:00,92537695.0594049,92537695.0594049,15113749.9143273,0.0,0.0 
 01/21  03:00:00,70598072.8652824,70598072.8652824,11704529.7733525,0.0,0.0 
 01/21  04:00:00,99736192.2710594,99736192.2710593,15401962.9937449,0.0,0.0 
 01/21  05:00:00,92970528.3202418,92970528.3202418,15165492.8732763,0.0,0.0 
 01/21  06:00:00,70860947.2276751,70860947.2276751,11737063.3162222,0.0,0.0 
 01/21  07:00:00,172083130.082092,172083130.082092,18171672.1683216,0.0,0.0 
 01/21  08:00:00,138647463.219275,138647463.219275,16873904.4615162,0.0,0.0 
 01/21  09:00:00,137127285.080515,137127285.080515,16574956.687655,0.0,0.0 
 01/21  10:00:00,136149868.911681,136149868.911681,16448894.4372916,0.0,0.0 
 01/21  11:00:00,135732473.50964,135732473.50964,16379423.932537,0.0,0.0 
 01/21  12:00:00,135258676.229183,135258676.229183,16335898.198225,0.0,0.0 
 01/21  13:00:00,135075560.336449,135075560.336449,16303965.4340238,0.0,0.0 
 01/21  14:00:00,134964071.100863,134964071.100863,16278571.1043056,0.0,0.0 
 01/21  15:00:00,134975736.272447,134975736.272447,20348690.3359111,0.0,0.0 
 01/21  16:00:00,134957467.143161,134957467.143161,16239132.2660126,0.0,0.0 
 01/21  17:00:00,134786115.405992,134786115.405992,20289085.9581731,0.0,0.0 
 01/21  18:00:00,142225536.911787,142225536.911787,16207482.8057846,0.0,0.0 
 01/21  19:00:00,107214351.435536,107214351.435536,13447925.3947955,0.0,0.0 
 01/21  20:00:00,100934597.073013,100934597.073013,15000802.8159178,0.0,0.0 
 01/21  21:00:00,79936707.0404027,79936707.0404027,11592613.2577739,0.0,0.0 
 01/21  22:00:00,108822367.844016,108822367.844016,15253721.3329694,0.0,0.0 
 01/21  23:00:00,102262529.485881,102262529.485881,15044121.3169263,0.0,0.0 
 01/21  24:00:00,80561745.5831931,80561745.5831931,11663121.5818454,0.0,0.0 
 07/21  01:00:00,527492497.677546,527492497.677546,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,538685955.330656,538685955.330656,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,494571774.501017,494571774.501017,4597200.,158309273.450227,224813060.552967 
 07/21  04:00:00,541935143.571007,541935143.571007,4597200.,158309273.450227,224813060.552967 
 07/21  05:00:00,538844750.002326,538844750.002326,4597200.,158309273.450227,224813060.552967 
 07/21  06:00:00,506570829.08675,506570829.08675,4597200.,157132290.901714,224813060.552967 
 07/21  07:00:00,642376469.884715,642376469.884715,4597200.,130547525.051546,224813060.552967 
