Time,PACU_VAV_BOT:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:Des Heat Cap [W],PACU_VAV_BOT:Des Sens Cool Cap [W],PACU_VAV_MID:Des Heat Mass Flow [kg/s],PACU_VAV_MID:Des Cool Mass Flow [kg/s],PACU_VAV_MID:Des Heat Cap [W],PACU_VAV_MID:Des Sens Cool Cap [W],PACU_VAV_TOP:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:Des Heat Cap [W],PACU_VAV_TOP:Des Sens Cool Cap [W] 
00:15:00,8.624333E-01,1.607421E+00,3.553156E+03,2.371071E+04,8.624333E-01,8.678622E-01,3.553156E+03,1.291156E+04,8.624333E-01,8.727630E-01,3.553156E+03,1.298447E+04 
00:30:00,8.624333E-01,1.652103E+00,3.553156E+03,2.419277E+04,8.624333E-01,8.742091E-01,3.553156E+03,1.291770E+04,8.624333E-01,9.217732E-01,3.553156E+03,1.362053E+04 
00:45:00,8.624333E-01,1.675589E+00,3.553156E+03,2.437999E+04,8.624333E-01,8.935964E-01,3.553156E+03,1.311394E+04,8.624333E-01,9.661036E-01,3.553156E+03,1.417801E+04 
01:00:00,8.624333E-01,1.693569E+00,3.553156E+03,2.448991E+04,8.624333E-01,9.219741E-01,3.553156E+03,1.343728E+04,8.624333E-01,9.932699E-01,3.553156E+03,1.447638E+04 
01:15:00,8.624333E-01,1.708660E+00,3.553156E+03,2.460741E+04,8.624333E-01,9.431824E-01,3.553156E+03,1.368288E+04,8.624333E-01,1.013557E+00,3.553156E+03,1.470381E+04 
01:30:00,8.624333E-01,1.721641E+00,3.553156E+03,2.469516E+04,8.624333E-01,9.607413E-01,3.553156E+03,1.387293E+04,8.624333E-01,1.029895E+00,3.553156E+03,1.487149E+04 
01:45:00,8.624333E-01,1.733005E+00,3.553156E+03,2.476019E+04,8.624333E-01,9.757093E-01,3.553156E+03,1.402337E+04,8.624333E-01,1.043309E+00,3.553156E+03,1.499495E+04 
02:00:00,8.624333E-01,1.743150E+00,3.553156E+03,2.480752E+04,8.624333E-01,9.887769E-01,3.553156E+03,1.414462E+04,8.624333E-01,1.054535E+00,3.553156E+03,1.508530E+04 
02:15:00,8.624333E-01,1.753362E+00,3.553156E+03,2.487927E+04,8.624333E-01,1.002111E+00,3.553156E+03,1.428477E+04,8.624333E-01,1.065762E+00,3.553156E+03,1.519208E+04 
02:30:00,8.624333E-01,1.762889E+00,3.553156E+03,2.494143E+04,8.624333E-01,1.014385E+00,3.553156E+03,1.440851E+04,8.624333E-01,1.075687E+00,3.553156E+03,1.527925E+04 
02:45:00,8.624333E-01,1.771961E+00,3.553156E+03,2.499727E+04,8.624333E-01,1.025974E+00,3.553156E+03,1.452132E+04,8.624333E-01,1.084732E+00,3.553156E+03,1.535295E+04 
03:00:00,8.624333E-01,1.780587E+00,3.553156E+03,2.504678E+04,8.624333E-01,1.037009E+00,3.553156E+03,1.462513E+04,8.624333E-01,1.093057E+00,3.553156E+03,1.541559E+04 
03:15:00,8.624333E-01,1.788856E+00,3.553156E+03,2.509124E+04,8.624333E-01,1.047567E+00,3.553156E+03,1.472115E+04,8.624333E-01,1.100768E+00,3.553156E+03,1.546876E+04 
03:30:00,8.624333E-01,1.796834E+00,3.553156E+03,2.513153E+04,8.624333E-01,1.057742E+00,3.553156E+03,1.481072E+04,8.624333E-01,1.107983E+00,3.553156E+03,1.551420E+04 
