Time,PACU_VAV_BOT:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:Des Heat Cap [W],PACU_VAV_BOT:Des Sens Cool Cap [W],PACU_VAV_MID:Des Heat Mass Flow [kg/s],PACU_VAV_MID:Des Cool Mass Flow [kg/s],PACU_VAV_MID:Des Heat Cap [W],PACU_VAV_MID:Des Sens Cool Cap [W],PACU_VAV_TOP:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:Des Heat Cap [W],PACU_VAV_TOP:Des Sens Cool Cap [W] 
00:15:00,8.624333E-01,1.606156E+00,3.553156E+03,2.369354E+04,8.624333E-01,8.634787E-01,3.553156E+03,1.284635E+04,8.624333E-01,8.624333E-01,3.553156E+03,1.283079E+04 
00:30:00,8.624333E-01,1.650350E+00,3.553156E+03,2.416867E+04,8.624333E-01,8.694965E-01,3.553156E+03,1.284807E+04,8.624333E-01,8.624333E-01,3.553156E+03,1.274370E+04 
00:45:00,8.624333E-01,1.673762E+00,3.553156E+03,2.435471E+04,8.624333E-01,8.724986E-01,3.553156E+03,1.280432E+04,8.624333E-01,8.634578E-01,3.553156E+03,1.267164E+04 
01:00:00,8.624333E-01,1.691715E+00,3.553156E+03,2.446421E+04,8.624333E-01,8.754088E-01,3.553156E+03,1.275862E+04,8.624333E-01,8.656618E-01,3.553156E+03,1.261656E+04 
01:15:00,8.624333E-01,1.706778E+00,3.553156E+03,2.458126E+04,8.624333E-01,8.818546E-01,3.553156E+03,1.279319E+04,8.624333E-01,8.671906E-01,3.553156E+03,1.258046E+04 
01:30:00,8.624333E-01,1.719724E+00,3.553156E+03,2.466848E+04,8.624333E-01,8.978845E-01,3.553156E+03,1.296529E+04,8.624333E-01,8.683018E-01,3.553156E+03,1.253812E+04 
01:45:00,8.624333E-01,1.731051E+00,3.553156E+03,2.473298E+04,8.624333E-01,9.123599E-01,3.553156E+03,1.311289E+04,8.624333E-01,8.691071E-01,3.553156E+03,1.249124E+04 
02:00:00,8.624333E-01,1.741154E+00,3.553156E+03,2.477969E+04,8.624333E-01,9.250811E-01,3.553156E+03,1.323344E+04,8.624333E-01,8.709831E-01,3.553156E+03,1.245956E+04 
02:15:00,8.624333E-01,1.751328E+00,3.553156E+03,2.485091E+04,8.624333E-01,9.381682E-01,3.553156E+03,1.337328E+04,8.624333E-01,8.778444E-01,3.553156E+03,1.251338E+04 
02:30:00,8.624333E-01,1.760829E+00,3.553156E+03,2.491268E+04,8.624333E-01,9.502833E-01,3.553156E+03,1.349799E+04,8.624333E-01,8.897706E-01,3.553156E+03,1.263846E+04 
02:45:00,8.624333E-01,1.769875E+00,3.553156E+03,2.496814E+04,8.624333E-01,9.617737E-01,3.553156E+03,1.361264E+04,8.624333E-01,9.009861E-01,3.553156E+03,1.275227E+04 
