Time,CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3::Des Heat Load [W],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2::Des Heat Load [W],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1::Des Heat Load [W],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4::Des Heat Load [W],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:15:00,0.000000E+00,1.781362E+04,0.000000E+00,1.255748E+00,4.149273E+02,6.297271E+03,1.667649E-02,4.439494E-01,4.473837E+03,6.960226E+03,1.798097E-01,4.906569E-01,2.511387E+03,1.446495E+03,1.009345E-01,1.019749E-01,1.663729E+03,9.516249E+02,6.686640E-02,6.708936E-02,2.538822E+03,1.437306E+03,1.020371E-01,1.013263E-01,1.660546E+03,1.113386E+03,6.673850E-02,7.849106E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.761918E+02,0.000000E+00,2.652279E-02,0.000000E+00,6.943138E+02,0.000000E+00,4.894953E-02,0.000000E+00,4.911037E+02,0.000000E+00,3.461963E-02,1.498414E+03,1.324730E+03,6.022254E-02,9.338879E-02,1.024264E+03,8.764003E+02,4.116601E-02,6.178215E-02,1.533880E+03,1.315442E+03,6.164793E-02,9.273476E-02,1.022973E+03,1.043870E+03,4.111413E-02,7.359016E-02 
00:30:00,0.000000E+00,1.844830E+04,0.000000E+00,1.300430E+00,4.150168E+02,7.001955E+03,1.668008E-02,4.936057E-01,4.475050E+03,7.666575E+03,1.798584E-01,5.404266E-01,2.511669E+03,1.584925E+03,1.009458E-01,1.117314E-01,1.663906E+03,1.040703E+03,6.687352E-02,7.336651E-02,2.539097E+03,1.576283E+03,1.020481E-01,1.111218E-01,1.660723E+03,1.207538E+03,6.674560E-02,8.512686E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.488827E+02,0.000000E+00,3.164684E-02,0.000000E+00,8.165307E+02,0.000000E+00,5.756473E-02,0.000000E+00,5.685444E+02,0.000000E+00,4.007848E-02,1.498460E+03,1.462776E+03,6.022436E-02,1.031171E-01,1.024293E+03,9.653247E+02,4.116719E-02,6.804984E-02,1.533925E+03,1.454069E+03,6.164972E-02,1.025040E-01,1.023002E+03,1.133914E+03,4.111530E-02,7.993710E-02 
00:45:00,0.000000E+00,1.878191E+04,0.000000E+00,1.323916E+00,4.150430E+02,7.399684E+03,1.668114E-02,5.216134E-01,4.476064E+03,8.045886E+03,1.798991E-01,5.671583E-01,2.511907E+03,1.662258E+03,1.009553E-01,1.171796E-01,1.664056E+03,1.090741E+03,6.687957E-02,7.689110E-02,2.539331E+03,1.655487E+03,1.020575E-01,1.167024E-01,1.660873E+03,1.250777E+03,6.675162E-02,8.817227E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.084822E+02,0.000000E+00,3.584777E-02,0.000000E+00,8.968033E+02,0.000000E+00,6.322305E-02,0.000000E+00,6.189381E+02,0.000000E+00,4.362982E-02,1.498489E+03,1.544477E+03,6.022554E-02,1.088762E-01,1.024313E+03,1.017134E+03,4.116796E-02,7.170175E-02,1.533953E+03,1.536862E+03,6.165087E-02,1.083395E-01,1.023022E+03,1.178346E+03,4.111607E-02,8.306567E-02 
01:00:00,0.000000E+00,1.903697E+04,0.000000E+00,1.341896E+00,4.150220E+02,7.643524E+03,1.668029E-02,5.387850E-01,4.476915E+03,8.280142E+03,1.799333E-01,5.836592E-01,2.512109E+03,1.709359E+03,1.009634E-01,1.204999E-01,1.664183E+03,1.121790E+03,6.688465E-02,7.908008E-02,2.539527E+03,1.704629E+03,1.020654E-01,1.201666E-01,1.660999E+03,1.274765E+03,6.675669E-02,8.986418E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.452500E+02,0.000000E+00,3.843638E-02,0.000000E+00,9.385459E+02,0.000000E+00,6.616019E-02,0.000000E+00,6.464841E+02,0.000000E+00,4.557151E-02,1.498505E+03,1.593944E+03,6.022619E-02,1.123623E-01,1.024323E+03,1.049692E+03,4.116839E-02,7.399652E-02,1.533969E+03,1.588165E+03,6.165149E-02,1.119551E-01,1.023032E+03,1.204009E+03,4.111650E-02,8.487509E-02 
01:15:00,0.000000E+00,1.925108E+04,0.000000E+00,1.356987E+00,4.149788E+02,7.832119E+03,1.667855E-02,5.520795E-01,4.477669E+03,8.462410E+03,1.799637E-01,5.965076E-01,2.512285E+03,1.742584E+03,1.009705E-01,1.228440E-01,1.664294E+03,1.143742E+03,6.688912E-02,8.062888E-02,2.539699E+03,1.739840E+03,1.020723E-01,1.226506E-01,1.661110E+03,1.289803E+03,6.676114E-02,9.092573E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.670647E+02,0.000000E+00,3.997344E-02,0.000000E+00,9.625446E+02,0.000000E+00,6.785156E-02,0.000000E+00,6.632230E+02,0.000000E+00,4.675182E-02,1.498514E+03,1.629159E+03,6.022654E-02,1.148464E-01,1.024329E+03,1.072923E+03,4.116863E-02,7.563523E-02,1.533977E+03,1.625211E+03,6.165182E-02,1.145681E-01,1.023038E+03,1.220704E+03,4.111675E-02,8.605317E-02 
01:30:00,0.000000E+00,1.943528E+04,0.000000E+00,1.369969E+00,4.149249E+02,7.995986E+03,1.667639E-02,5.636305E-01,4.478360E+03,8.617326E+03,1.799914E-01,6.074276E-01,2.512445E+03,1.767324E+03,1.009769E-01,1.245899E-01,1.664395E+03,1.159903E+03,6.689316E-02,8.176943E-02,2.539854E+03,1.766449E+03,1.020785E-01,1.245283E-01,1.661210E+03,1.299059E+03,6.676517E-02,9.157964E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.817052E+02,0.000000E+00,4.100588E-02,0.000000E+00,9.789117E+02,0.000000E+00,6.900595E-02,0.000000E+00,6.749673E+02,0.000000E+00,4.758011E-02,1.498519E+03,1.656397E+03,6.022672E-02,1.167680E-01,1.024333E+03,1.090698E+03,4.116876E-02,7.688933E-02,1.533981E+03,1.654208E+03,6.165199E-02,1.166138E-01,1.023042E+03,1.231844E+03,4.111688E-02,8.683964E-02 
01:45:00,0.000000E+00,1.959654E+04,0.000000E+00,1.381332E+00,4.148620E+02,8.142571E+03,1.667386E-02,5.739629E-01,4.478994E+03,8.751907E+03,1.800169E-01,6.169136E-01,2.512590E+03,1.785818E+03,1.009828E-01,1.258953E-01,1.664486E+03,1.171747E+03,6.689683E-02,8.260553E-02,2.539995E+03,1.786657E+03,1.020842E-01,1.259546E-01,1.661301E+03,1.304154E+03,6.676882E-02,9.194003E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.928351E+02,0.000000E+00,4.179082E-02,0.000000E+00,9.914117E+02,0.000000E+00,6.988770E-02,0.000000E+00,6.832637E+02,0.000000E+00,4.816534E-02,1.498520E+03,1.677911E+03,6.022677E-02,1.182860E-01,1.024334E+03,1.104490E+03,4.116881E-02,7.786250E-02,1.533982E+03,1.677363E+03,6.165203E-02,1.182474E-01,1.023043E+03,1.239077E+03,4.111693E-02,8.735049E-02 
02:00:00,0.000000E+00,1.974051E+04,0.000000E+00,1.391477E+00,4.147910E+02,8.276091E+03,1.667101E-02,5.833739E-01,4.479577E+03,8.870747E+03,1.800403E-01,6.252897E-01,2.512722E+03,1.799774E+03,1.009881E-01,1.268806E-01,1.664569E+03,1.180440E+03,6.690017E-02,8.321928E-02,2.540124E+03,1.802168E+03,1.020894E-01,1.270495E-01,1.661384E+03,1.306352E+03,6.677215E-02,9.209596E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.013494E+02,0.000000E+00,4.239136E-02,0.000000E+00,1.000828E+03,0.000000E+00,7.055201E-02,0.000000E+00,6.889719E+02,0.000000E+00,4.856808E-02,1.498519E+03,1.695330E+03,6.022670E-02,1.195151E-01,1.024333E+03,1.115404E+03,4.116878E-02,7.863269E-02,1.533981E+03,1.696283E+03,6.165195E-02,1.195824E-01,1.023043E+03,1.243638E+03,4.111690E-02,8.767285E-02 
02:15:00,0.000000E+00,1.988542E+04,0.000000E+00,1.401689E+00,4.153153E+02,8.413570E+03,1.669208E-02,5.930639E-01,4.480401E+03,8.991068E+03,1.800735E-01,6.337702E-01,2.512907E+03,1.813364E+03,1.009955E-01,1.278400E-01,1.664686E+03,1.188691E+03,6.690485E-02,8.380187E-02,2.540305E+03,1.817161E+03,1.020966E-01,1.281078E-01,1.661500E+03,1.308408E+03,6.677681E-02,9.224184E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.098210E+02,0.000000E+00,4.298887E-02,0.000000E+00,1.011026E+03,0.000000E+00,7.127143E-02,0.000000E+00,6.946240E+02,0.000000E+00,4.896685E-02,1.498659E+03,1.712788E+03,6.023236E-02,1.207470E-01,1.024423E+03,1.126125E+03,4.117237E-02,7.938927E-02,1.534120E+03,1.715103E+03,6.165756E-02,1.209103E-01,1.023132E+03,1.248278E+03,4.112048E-02,8.800070E-02 
02:30:00,0.000000E+00,2.002063E+04,0.000000E+00,1.411217E+00,4.158374E+02,8.543272E+03,1.671306E-02,6.022058E-01,4.481201E+03,9.101449E+03,1.801056E-01,6.415500E-01,2.513084E+03,1.824396E+03,1.010026E-01,1.286190E-01,1.664798E+03,1.195158E+03,6.690934E-02,8.425865E-02,2.540479E+03,1.829453E+03,1.021036E-01,1.289757E-01,1.661611E+03,1.308987E+03,6.678129E-02,9.228356E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.169517E+02,0.000000E+00,4.349187E-02,0.000000E+00,1.019798E+03,0.000000E+00,7.189028E-02,0.000000E+00,6.988824E+02,0.000000E+00,4.926738E-02,1.498799E+03,1.728083E+03,6.023797E-02,1.218263E-01,1.024511E+03,1.135305E+03,4.117593E-02,8.003715E-02,1.534259E+03,1.731625E+03,6.166313E-02,1.220761E-01,1.023220E+03,1.251663E+03,4.112403E-02,8.824011E-02 
