Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),CORE_BOTTOM VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),CORE_MID VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),CORE_TOP VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_TOP_ZN_2 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_TOP_ZN_1 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_TOP_ZN_4 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_BOT_ZN_3 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_BOT_ZN_2 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_BOT_ZN_1 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_BOT_ZN_4 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_MID_ZN_3 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_MID_ZN_2 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_MID_ZN_1 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_MID_ZN_4 VAV BOX COMPONENT:Zone Air Terminal VAV Damper Position [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  00:01:00,8.64932348607993,15.509865147069,30.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7215975084036,0.0 
 01/21  00:02:00,8.64932348607993,15.372592329147,30.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6750386705585,0.0 
 01/21  00:03:00,8.64932348607993,15.23189010255,30.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6014253880205,0.0 
 01/21  00:04:00,8.64932348607993,15.1061641678574,30.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5243125236923,0.0 
 01/21  00:05:00,8.64932348607993,15.5478344690692,30.,0.0,0.0,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2249683786815,2.61361481285024 
 01/21  00:06:00,8.64932348607993,15.5945517389456,30.,0.0,0.0,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3081400871546,2.61361481285024 
 01/21  00:07:00,8.64932348607993,15.5994335249974,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.8257853204258,2.61361481285024 
 01/21  00:08:00,8.64932348607993,15.5999545183857,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.4263907317403,2.61361481285024 
 01/21  00:09:00,8.64932348607993,15.6000100942514,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3828988982222,2.61361481285024 
 01/21  00:10:00,8.64932348607993,15.6000175205606,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3779539670305,2.61361481285024 
 01/21  00:11:00,8.64932348607993,15.6000182817585,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3770799307747,2.61361481285024 
 01/21  00:12:00,8.64932348607993,15.6000177914633,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3767421222007,2.61361481285024 
 01/21  00:13:00,8.64932348607993,15.6000169708132,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.376514176061,2.61361481285024 
 01/21  00:14:00,8.64932348607993,15.60001607002,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3762368714646,2.61361481285024 
 01/21  00:15:00,8.64932348607993,15.6000151802014,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.375964779628,2.61361481285024 
 01/21  00:16:00,8.64932348607993,15.6000143401526,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3757058423596,2.61361481285024 
 01/21  00:17:00,8.64932348607993,15.6000135688325,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3754486327192,2.61361481285024 
 01/21  00:18:00,8.64932348607993,15.6000128753698,30.,0.0,0.358790110848353,0.341177534848771,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,16.3751924799074,2.61361481285024 
