Time,CORE_BOTTOM::Des Heat Load [W],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM::Des Heat Mass Flow [kg/s],CORE_BOTTOM:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID::Des Heat Load [W],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID::Des Heat Mass Flow [kg/s],CORE_MID:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3::Des Heat Load [W],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2::Des Heat Load [W],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1::Des Heat Load [W],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4::Des Heat Load [W],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4::Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
00:01:00,0.000000E+00,1.975345E+04,0.000000E+00,1.392374E+00,0.000000E+00,8.265633E+03,0.000000E+00,5.826255E-01,3.855110E+03,7.516642E+03,1.549422E-01,5.298310E-01,2.369987E+03,0.000000E+00,9.525283E-02,0.000000E+00,1.574590E+03,1.036652E+03,6.328479E-02,7.307258E-02,2.398391E+03,1.682265E+03,9.639441E-02,1.185811E-01,1.571728E+03,1.195542E+03,6.316975E-02,8.427263E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.416488E+02,0.000000E+00,4.522871E-02,0.000000E+00,1.068479E+03,0.000000E+00,7.531522E-02,0.000000E+00,7.621374E+02,0.000000E+00,5.372178E-02,1.272058E+03,1.762508E+03,5.112567E-02,1.242371E-01,8.810070E+02,1.156665E+03,3.540882E-02,8.153202E-02,1.309564E+03,1.753034E+03,5.263311E-02,1.235692E-01,8.802803E+02,1.325015E+03,3.537962E-02,9.339888E-02 
00:02:00,0.000000E+00,1.975434E+04,0.000000E+00,1.392436E+00,0.000000E+00,8.265720E+03,0.000000E+00,5.826317E-01,3.850889E+03,7.518863E+03,1.547725E-01,5.299875E-01,2.369040E+03,0.000000E+00,9.521477E-02,0.000000E+00,1.573994E+03,1.036671E+03,6.326085E-02,7.307388E-02,2.397451E+03,1.681992E+03,9.635663E-02,1.185619E-01,1.571134E+03,1.195040E+03,6.314589E-02,8.423725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.409502E+02,0.000000E+00,4.517947E-02,0.000000E+00,1.067106E+03,0.000000E+00,7.521842E-02,0.000000E+00,7.612942E+02,0.000000E+00,5.366235E-02,1.269973E+03,1.761925E+03,5.104187E-02,1.241960E-01,8.796880E+02,1.156366E+03,3.535581E-02,8.151093E-02,1.307506E+03,1.752622E+03,5.255036E-02,1.235402E-01,8.789671E+02,1.324146E+03,3.532683E-02,9.333763E-02 
00:03:00,0.000000E+00,1.975511E+04,0.000000E+00,1.392491E+00,0.000000E+00,8.265607E+03,0.000000E+00,5.826237E-01,3.846669E+03,7.520852E+03,1.546029E-01,5.301277E-01,2.368094E+03,0.000000E+00,9.517673E-02,0.000000E+00,1.573399E+03,1.036652E+03,6.323691E-02,7.307255E-02,2.396511E+03,1.681667E+03,9.631886E-02,1.185389E-01,1.570541E+03,1.194500E+03,6.312205E-02,8.419921E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.402377E+02,0.000000E+00,4.512925E-02,0.000000E+00,1.065709E+03,0.000000E+00,7.511995E-02,0.000000E+00,7.604219E+02,0.000000E+00,5.360086E-02,1.267889E+03,1.761291E+03,5.095811E-02,1.241513E-01,8.783697E+02,1.156031E+03,3.530283E-02,8.148734E-02,1.305447E+03,1.752158E+03,5.246764E-02,1.235076E-01,8.776544E+02,1.323243E+03,3.527408E-02,9.327398E-02 
00:04:00,0.000000E+00,1.975579E+04,0.000000E+00,1.392539E+00,0.000000E+00,8.265347E+03,0.000000E+00,5.826054E-01,3.842451E+03,7.522661E+03,1.544334E-01,5.302552E-01,2.367147E+03,0.000000E+00,9.513870E-02,0.000000E+00,1.572803E+03,1.036608E+03,6.321299E-02,7.306949E-02,2.395572E+03,1.681307E+03,9.628112E-02,1.185136E-01,1.569948E+03,1.193935E+03,6.309821E-02,8.415938E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.395188E+02,0.000000E+00,4.507858E-02,0.000000E+00,1.064300E+03,0.000000E+00,7.502068E-02,0.000000E+00,7.595303E+02,0.000000E+00,5.353801E-02,1.265806E+03,1.760625E+03,5.087440E-02,1.241043E-01,8.770520E+02,1.155673E+03,3.524987E-02,8.146212E-02,1.303390E+03,1.751661E+03,5.238497E-02,1.234725E-01,8.763424E+02,1.322318E+03,3.522134E-02,9.320875E-02 
00:05:00,0.000000E+00,1.975639E+04,0.000000E+00,1.392581E+00,0.000000E+00,8.264960E+03,0.000000E+00,5.825780E-01,3.838235E+03,7.524309E+03,1.542639E-01,5.303714E-01,2.366202E+03,0.000000E+00,9.510069E-02,0.000000E+00,1.572208E+03,1.036542E+03,6.318907E-02,7.306480E-02,2.394633E+03,1.680917E+03,9.624339E-02,1.184861E-01,1.569355E+03,1.193346E+03,6.307439E-02,8.411787E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.387934E+02,0.000000E+00,4.502744E-02,0.000000E+00,1.062882E+03,0.000000E+00,7.492067E-02,0.000000E+00,7.586209E+02,0.000000E+00,5.347391E-02,1.263724E+03,1.759930E+03,5.079072E-02,1.240554E-01,8.757349E+02,1.155294E+03,3.519693E-02,8.143540E-02,1.301334E+03,1.751132E+03,5.230233E-02,1.234352E-01,8.750310E+02,1.321372E+03,3.516864E-02,9.314210E-02 
00:06:00,0.000000E+00,1.975690E+04,0.000000E+00,1.392617E+00,0.000000E+00,8.264449E+03,0.000000E+00,5.825420E-01,3.834021E+03,7.525799E+03,1.540946E-01,5.304763E-01,2.365256E+03,0.000000E+00,9.506270E-02,0.000000E+00,1.571614E+03,1.036453E+03,6.316517E-02,7.305855E-02,2.393695E+03,1.680498E+03,9.620568E-02,1.184565E-01,1.568763E+03,1.192734E+03,6.305058E-02,8.407475E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.380614E+02,0.000000E+00,4.497584E-02,0.000000E+00,1.061453E+03,0.000000E+00,7.481995E-02,0.000000E+00,7.576946E+02,0.000000E+00,5.340862E-02,1.261643E+03,1.759208E+03,5.070707E-02,1.240044E-01,8.744184E+02,1.154895E+03,3.514402E-02,8.140726E-02,1.299279E+03,1.750574E+03,5.221973E-02,1.233959E-01,8.737201E+02,1.320407E+03,3.511595E-02,9.307409E-02 
00:07:00,0.000000E+00,1.975733E+04,0.000000E+00,1.392647E+00,0.000000E+00,8.263818E+03,0.000000E+00,5.824976E-01,3.829809E+03,7.527133E+03,1.539253E-01,5.305704E-01,2.364312E+03,0.000000E+00,9.502472E-02,0.000000E+00,1.571019E+03,1.036343E+03,6.314128E-02,7.305079E-02,2.392757E+03,1.680049E+03,9.616799E-02,1.184249E-01,1.568170E+03,1.192100E+03,6.302678E-02,8.403007E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.373227E+02,0.000000E+00,4.492377E-02,0.000000E+00,1.060014E+03,0.000000E+00,7.471852E-02,0.000000E+00,7.567519E+02,0.000000E+00,5.334217E-02,1.259563E+03,1.758459E+03,5.062347E-02,1.239516E-01,8.731026E+02,1.154477E+03,3.509113E-02,8.137776E-02,1.297225E+03,1.749988E+03,5.213716E-02,1.233546E-01,8.724099E+02,1.319424E+03,3.506329E-02,9.300479E-02 
00:08:00,0.000000E+00,1.975764E+04,0.000000E+00,1.392669E+00,0.000000E+00,8.263040E+03,0.000000E+00,5.824427E-01,3.825600E+03,7.528285E+03,1.537561E-01,5.306515E-01,2.363367E+03,0.000000E+00,9.498677E-02,0.000000E+00,1.570425E+03,1.036208E+03,6.311740E-02,7.304130E-02,2.391820E+03,1.679567E+03,9.613032E-02,1.183909E-01,1.567578E+03,1.191441E+03,6.300299E-02,8.398360E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.365754E+02,0.000000E+00,4.487110E-02,0.000000E+00,1.058562E+03,0.000000E+00,7.461618E-02,0.000000E+00,7.557906E+02,0.000000E+00,5.327441E-02,1.257483E+03,1.757678E+03,5.053991E-02,1.238966E-01,8.717873E+02,1.154035E+03,3.503827E-02,8.134665E-02,1.295171E+03,1.749369E+03,5.205464E-02,1.233109E-01,8.711003E+02,1.318419E+03,3.501066E-02,9.293397E-02 
00:09:00,0.000000E+00,1.977122E+04,0.000000E+00,1.393626E+00,0.000000E+00,8.275798E+03,0.000000E+00,5.833420E-01,3.825683E+03,7.542861E+03,1.537594E-01,5.316790E-01,2.363385E+03,0.000000E+00,9.498750E-02,0.000000E+00,1.570437E+03,1.037847E+03,6.311786E-02,7.315680E-02,2.391838E+03,1.681894E+03,9.613104E-02,1.185550E-01,1.567590E+03,1.192560E+03,6.300344E-02,8.406246E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.375796E+02,0.000000E+00,4.494189E-02,0.000000E+00,1.059881E+03,0.000000E+00,7.470918E-02,0.000000E+00,7.565794E+02,0.000000E+00,5.333001E-02,1.257509E+03,1.759722E+03,5.054095E-02,1.240407E-01,8.718037E+02,1.155379E+03,3.503893E-02,8.144138E-02,1.295197E+03,1.751571E+03,5.205566E-02,1.234662E-01,8.711167E+02,1.319206E+03,3.501132E-02,9.298941E-02 
00:10:00,0.000000E+00,1.978489E+04,0.000000E+00,1.394589E+00,0.000000E+00,8.288641E+03,0.000000E+00,5.842472E-01,3.825766E+03,7.557472E+03,1.537628E-01,5.327089E-01,2.363404E+03,0.000000E+00,9.498823E-02,0.000000E+00,1.570448E+03,1.039470E+03,6.311832E-02,7.327125E-02,2.391856E+03,1.684206E+03,9.613176E-02,1.187179E-01,1.567601E+03,1.193665E+03,6.300390E-02,8.414038E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.385779E+02,0.000000E+00,4.501225E-02,0.000000E+00,1.061195E+03,0.000000E+00,7.480176E-02,0.000000E+00,7.573587E+02,0.000000E+00,5.338494E-02,1.257535E+03,1.761757E+03,5.054199E-02,1.241842E-01,8.718202E+02,1.156714E+03,3.503959E-02,8.153550E-02,1.295223E+03,1.753763E+03,5.205669E-02,1.236207E-01,8.711330E+02,1.319987E+03,3.501197E-02,9.304447E-02 
